"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-01","2026","01","01","","-17.1","","-25.7","","-21.4","","39.4","","0.0","","","","","","1.9","","19","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-02","2026","01","02","","-12.4","","-26.2","","-19.3","","37.3","","0.0","","","","","","2.1","","18","","29","","34",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-03","2026","01","03","","-12.4","","-26.1","","-19.2","","37.2","","0.0","","","","","","2.5","","23","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-04","2026","01","04","","-7.9","","-16.4","","-12.1","","30.1","","0.0","","","","","","0.1","","23","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-05","2026","01","05","","-5.2","","-8.6","","-6.9","","24.9","","0.0","","","","","","0.0","","23","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-06","2026","01","06","","-5.7","","-11.9","","-8.8","","26.8","","0.0","","","","","","0.0","","22","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-07","2026","01","07","","-3.2","","-12.3","","-7.7","","25.7","","0.0","","","","","","0.0","","21","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-08","2026","01","08","","-0.8","","-19.2","","-10.0","","28.0","","0.0","","","","","","0.6","","21","","25","","36",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-09","2026","01","09","","-9.9","","-17.8","","-13.9","","31.9","","0.0","","","","","","0.6","","21","","31","","34",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-10","2026","01","10","","-8.6","","-21.3","","-15.0","","33.0","","0.0","","","","","","0.0","","25","","33","","47",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-11","2026","01","11","","-0.8","","-19.2","","-10.0","","28.0","","0.0","","","","","","0.6","","21","","17","","51",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-12","2026","01","12","","2.3","","-7.2","","-2.5","","20.5","","0.0","","","","","","0.3","","21","","25","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-13","2026","01","13","","3.7","","-18.5","","-7.4","","25.4","","0.0","","","","","","0.0","","20","","33","","65",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-14","2026","01","14","","-11.0","","-24.4","","-17.7","","35.7","","0.0","","","","","","0.0","","20","","19","","52",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-15","2026","01","15","","1.7","","-11.0","","-4.7","","22.7","","0.0","","","","","","0.8","","20","","18","","62",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-16","2026","01","16","","-5.2","","-17.8","","-11.5","","29.5","","0.0","","","","","","0.0","","20","","34","","65",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-17","2026","01","17","","-17.8","","-24.8","","-21.3","","39.3","","0.0","","","","","","0.0","","23","","34","","57",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-18","2026","01","18","","-15.1","","-27.9","","-21.5","","39.5","","0.0","","","","","","0.3","","23","","34","","63",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-19","2026","01","19","","-19.0","","-29.5","","-24.3","","42.3","","0.0","","","","","","0.0","","34","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-20","2026","01","20","","-16.7","","-28.2","","-22.4","","40.4","","0.0","","","","","","0.0","","34","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-21","2026","01","21","","-14.0","","-24.3","","-19.2","","37.2","","0.0","","","","","","0.2","","34","","32","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-22","2026","01","22","","-23.3","","-32.3","","-27.8","","45.8","","0.0","","","","","","0.0","","41","","33","","47",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-23","2026","01","23","","-26.6","","-33.1","","-29.9","","47.9","","0.0","","","","","","0.0","","42","","29","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-24","2026","01","24","","-23.1","","-35.4","","-29.2","","47.2","","0.0","","","","","","0.0","","42","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-25","2026","01","25","","-24.1","","-38.2","","-31.1","","49.1","","0.0","","","","","","0.0","","42","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-26","2026","01","26","","-15.3","","-25.2","","-20.3","","38.3","","0.0","","","","","","0.0","","40","","32","","60",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-27","2026","01","27","","-18.5","","-27.2","","-22.8","","40.8","","0.0","","","","","","0.0","","40","","31","","36",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-28","2026","01","28","","-18.6","","-28.1","","-23.3","","41.3","","0.0","","","","","","0.0","","40","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-29","2026","01","29","","-17.8","","-28.1","","-22.9","","40.9","","0.0","","","","","","0.0","","40","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-30","2026","01","30","","-17.3","","-30.5","","-23.9","","41.9","","0.0","","","","","","0.0","","39","","17","","33",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-01-31","2026","01","31","","-5.6","","-21.4","","-13.5","","31.5","","0.0","","","","","","1.0","","40","","17","","78",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-01","2026","02","01","","-5.6","","-15.5","","-10.6","","28.6","","0.0","","","","","","0.2","","35","","32","","47",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-02","2026","02","02","","-13.4","","-26.8","","-20.1","","38.1","","0.0","","","","","","0.0","","34","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-03","2026","02","03","","-9.5","","-26.8","","-18.1","","36.1","","0.0","","","","","","0.1","","34","","18","","33",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-04","2026","02","04","","-4.4","","-11.9","","-8.1","","26.1","","0.0","","","","","","0.0","","35","","18","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-05","2026","02","05","","3.1","","-8.3","","-2.6","","20.6","","0.0","","","","","","0.0","","35","","1","","55",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-06","2026","02","06","","-5.2","","-16.7","","-10.9","","28.9","","0.0","","","","","","0.0","","33","","34","","49",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-07","2026","02","07","","-5.5","","-13.3","","-9.4","","27.4","","0.0","","","","","","0.0","","32","","16","","45",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-08","2026","02","08","","-0.5","","-5.8","","-3.1","","21.1","","0.0","","","","","","0.0","","32","","17","","56",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-09","2026","02","09","","2.9","","-9.5","","-3.3","","21.3","","0.0","","","","","","0.0","","32","","32","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-10","2026","02","10","","-8.0","","-17.5","","-12.7","","30.7","","0.0","","","","","","0.0","","32","","31","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-11","2026","02","11","","-4.8","","-19.8","","-12.3","","30.3","","0.0","","","","","","0.0","","32","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-12","2026","02","12","","-2.0","","-7.3","","-4.7","","22.7","","0.0","","","","","","0.0","","32","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-13","2026","02","13","","1.7","","-14.5","","-6.4","","24.4","","0.0","","","","","","0.0","","31","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-14","2026","02","14","","-3.0","","-12.1","","-7.5","","25.5","","0.0","","","","","","0.0","","32","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-15","2026","02","15","","2.5","","-6.3","","-1.9","","19.9","","0.0","","","","","","0.0","","31","","18","","38",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-16","2026","02","16","","-0.9","","-14.6","","-7.8","","25.8","","0.0","","","","","","0.0","","31","","5","","31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-17","2026","02","17","","-0.3","","-14.0","","-7.2","","25.2","","0.0","","","","","","0.0","","31","","7","","52",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-18","2026","02","18","","-0.5","","-5.3","","-2.9","","20.9","","0.0","","","","","","2.8","","32","","9","","53",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-19","2026","02","19","","-4.1","","-9.2","","-6.6","","24.6","","0.0","","","","","","0.0","","32","","36","","33",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-20","2026","02","20","","-9.2","","-21.1","","-15.2","","33.2","","0.0","","","","","","0.0","","31","","33","","38",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-21","2026","02","21","","-14.7","","-21.2","","-18.0","","36.0","","0.0","","","","","","0.0","","32","","34","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-22","2026","02","22","","-15.5","","-23.1","","-19.3","","37.3","","0.0","","","","","","0.0","","31","","35","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-23","2026","02","23","","-8.8","","-22.6","","-15.7","","33.7","","0.0","","","","","","0.4","","31","","19","","71",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-24","2026","02","24","","-7.5","","-19.2","","-13.4","","31.4","","0.0","","","","","","1.9","","31","","33","","53",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-25","2026","02","25","","-10.6","","-25.9","","-18.3","","36.3","","0.0","","","","","","0.5","","31","","17","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-26","2026","02","26","","-3.2","","-19.5","","-11.4","","29.4","","0.0","","","","","","0.0","","39","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-27","2026","02","27","","1.9","","-22.5","","-10.3","","28.3","","0.0","","","","","","0.0","","38","","33","","83",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-02-28","2026","02","28","","-20.1","","-29.4","","-24.8","","42.8","","0.0","","","","","","0.0","","31","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-01","2026","03","01","","-8.3","","-27.2","","-17.8","","35.8","","0.0","","","","","","0.0","","31","","18","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-02","2026","03","02","","-2.6","","-14.4","","-8.5","","26.5","","0.0","","","","","","0.0","","31","","4","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-03","2026","03","03","","-8.2","","-14.5","","-11.3","","29.3","","0.0","","","","","","0.0","","31","","3","","36",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-04","2026","03","04","","-9.5","","-13.4","","-11.4","","29.4","","0.0","","","","","","0.0","","31","","3","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-05","2026","03","05","","-7.6","","-13.8","","-10.7","","28.7","","0.0","","","","","","0.3","","31","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-06","2026","03","06","","-6.7","","-10.7","","-8.7","","26.7","","0.0","","","","","","0.1","","31","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-07","2026","03","07","","3.8","","-9.4","","-2.8","","20.8","","0.0","","","","","","0.9","","31","","21","","57",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-08","2026","03","08","","6.2","","-7.3","","-0.5","","18.5","","0.0","","","","","","3.7","","30","","26","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-09","2026","03","09","","-6.8","","-18.9","","-12.8","","30.8","","0.0","","","","","","0.0","","30","","33","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-10","2026","03","10","","-2.9","","-20.2","","-11.5","","29.5","","0.0","","","","","","0.1","","30","","18","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-11","2026","03","11","","-8.9","","-20.1","","-14.5","","32.5","","0.0","","","","","","0.0","","30","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-12","2026","03","12","","-0.4","","-15.2","","-7.8","","25.8","","0.0","","","","","","1.4","","30","","1","","61",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-13","2026","03","13","","-8.4","","-16.3","","-12.4","","30.4","","0.0","","","","","","0.0","","30","","36","","50",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-14","2026","03","14","","-11.0","","-19.1","","-15.1","","33.1","","0.0","","","","","","0.0","","30","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-15","2026","03","15","","-13.7","","-24.0","","-18.8","","36.8","","0.0","","","","","","0.0","","30","","35","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-16","2026","03","16","","-12.1","","-26.9","","-19.5","","37.5","","0.0","","","","","","0.0","","29","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-17","2026","03","17","","-7.2","","-21.2","","-14.2","","32.2","","0.0","","","","","","0.0","","30","","15","","58",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-18","2026","03","18","","0.4","","-8.1","","-3.9","","21.9","","0.0","","","","","","0.7","","30","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-19","2026","03","19","","3.6","","-8.9","","-2.7","","20.7","","0.0","","","","","","0.0","","29","","18","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-20","2026","03","20","","6.6","","-2.7","","2.0","","16.0","","0.0","","","","","","0.0","","27","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-21","2026","03","21","","2.1","","-2.7","","-0.3","","18.3","","0.0","","","","","","4.3","","23","","3","","52",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-22","2026","03","22","","0.3","","-7.8","","-3.7","","21.7","","0.0","","","","","","0.0","","22","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-23","2026","03","23","","2.2","","-7.0","","-2.4","","20.4","","0.0","","","","","","0.0","","21","","19","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-24","2026","03","24","","0.9","","-11.7","","-5.4","","23.4","","0.0","","","","","","0.0","","20","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-25","2026","03","25","","1.0","","-7.4","","-3.2","","21.2","","0.0","","","","","","0.6","","20","","1","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-26","2026","03","26","","-7.4","","-12.4","","-9.9","","27.9","","0.0","","","","","","0.1","","20","","1","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-27","2026","03","27","","-5.9","","-11.5","","-8.7","","26.7","","0.0","","","","","","0.3","","20","","31","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-28","2026","03","28","","0.0","","-7.9","","-4.0","","22.0","","0.0","","","","","","0.0","","20","","3","","38",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-29","2026","03","29","","2.9","","-8.3","","-2.7","","20.7","","0.0","","","","","","0.0","","19","","4","","36",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-30","2026","03","30","","-2.3","","-6.2","","-4.2","","22.2","","0.0","","","","","","0.8","","15","","3","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-03-31","2026","03","31","","-1.8","","-8.4","","-5.1","","23.1","","0.0","","","","","","0.2","","19","","32","","34",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-01","2026","04","01","","2.1","","-10.1","","-4.0","","22.0","","0.0","","","","","","0.0","","15","","12","","36",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-02","2026","04","02","","3.6","","-1.1","","1.3","","16.7","","0.0","","","","","","0.0","","15","","10","","34",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-03","2026","04","03","","4.6","","-1.9","","1.3","","16.7","","0.0","","","","","","0.0","","11","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-04","2026","04","04","","7.0","","-1.3","","2.8","","15.2","","0.0","","","","","","0.0","","6","","36","","39",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-05","2026","04","05","","5.6","","-6.6","","-0.5","","18.5","","0.0","","","","","","0.3","","2","","33","","55",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-06","2026","04","06","","-2.0","","-9.2","","-5.6","","23.6","","0.0","","","","","","0.0","","1","","5","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-07","2026","04","07","","0.5","","-7.7","","-3.6","","21.6","","0.0","","","","","","0.0","","0","","15","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-08","2026","04","08","","4.7","","-1.7","","1.5","","16.5","","0.0","","","","","","2.7","","4","","33","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-09","2026","04","09","","4.2","","-4.0","","0.1","","17.9","","0.0","","","","","","0.0","","1","","35","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-10","2026","04","10","","8.1","","-1.0","","3.5","","14.5","","0.0","","","","","","0.0","","0","","29","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-11","2026","04","11","","11.0","","-0.9","","5.1","","12.9","","0.0","","","","","","0.0","","0","","18","","68",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-12","2026","04","12","","7.0","","1.9","","4.5","","13.5","","0.0","","","","","","3.1","","0","","35","","40",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-13","2026","04","13","","5.0","","-1.0","","2.0","","16.0","","0.0","","","","","","0.0","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-14","2026","04","14","","9.2","","0.2","","4.7","","13.3","","0.0","","","","","","4.1","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-15","2026","04","15","","16.8","","-0.4","","8.2","","9.8","","0.0","","","","","","0.0","","","","19","","62",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-16","2026","04","16","","-0.2","","-7.3","","-3.8","","21.8","","0.0","","","","","","0.0","","","","3","","53",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-17","2026","04","17","","-2.7","","-9.2","","-6.0","","24.0","","0.0","","","","","","7.1","","","","30","","60",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-18","2026","04","18","","0.1","","-9.3","","-4.6","","22.6","","0.0","","","","","","0.0","","","","30","","55",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-19","2026","04","19","","3.0","","-7.6","","-2.3","","20.3","","0.0","","","","","","0.0","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-20","2026","04","20","","15.9","","-1.2","","7.3","","10.7","","0.0","","","","","","0.0","","0","","20","","68",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-21","2026","04","21","","18.3","","-2.2","","8.0","","10.0","","0.0","","","","","","0.0","","","","18","","38",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-22","2026","04","22","","25.1","","6.1","","15.6","","2.4","","0.0","","","","","","3.1","","","","11","","51",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-23","2026","04","23","","22.9","","2.2","","12.6","","5.4","","0.0","","","","","","0.0","","","","22","","74",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-24","2026","04","24","","11.5","","0.0","","5.7","","12.3","","0.0","","","","","","0.0","","","","20","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-25","2026","04","25","","5.9","","-2.1","","1.9","","16.1","","0.0","","","","","","0.0","","","","22","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-26","2026","04","26","","11.5","","-3.6","","3.9","","14.1","","0.0","","","","","","0.0","","","","21","","55",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-27","2026","04","27","","10.1","","-0.8","","4.7","","13.3","","0.0","","","","","","0.0","","","","1","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-28","2026","04","28","","6.0","","-4.2","","0.9","","17.1","","0.0","","","","","","0.0","","","","34","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-29","2026","04","29","","5.7","","-3.8","","1.0","","17.0","","0.0","","","","","","0.0","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-04-30","2026","04","30","","7.2","","-4.3","","1.5","","16.5","","0.0","","","","","","0.0","","","","36","","33",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-01","2026","05","01","","14.0","","-5.5","","4.3","","13.7","","0.0","","","","","","0.0","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-02","2026","05","02","","19.0","","2.2","","10.6","","7.4","","0.0","","","","","","0.0","","","","34","","38",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-03","2026","05","03","","22.6","","-3.2","","9.7","","8.3","","0.0","","","","","","0.5","","","","25","","70",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-04","2026","05","04","","7.7","","-2.8","","2.5","","15.5","","0.0","","","","","","0.0","","","","33","","62",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-05","2026","05","05","","3.6","","-3.6","","0.0","","18.0","","0.0","","","","","","0.2","","","","32","","49",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-06","2026","05","06","","7.3","","-4.1","","1.6","","16.4","","0.0","","","","","","0.1","","","","32","","39",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-07","2026","05","07","","12.2","","-6.0","","3.1","","14.9","","0.0","","","","","","0.0","","","","31","","47",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-08","2026","05","08","","15.3","","-3.6","","5.8","","12.2","","0.0","","","","","","0.0","","","","32","","56",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-09","2026","05","09","","11.2","","-3.8","","3.7","","14.3","","0.0","","","","","","0.0","","","","33","","57",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-10","2026","05","10","","9.8","","-3.1","","3.3","","14.7","","0.0","","","","","","0.0","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-11","2026","05","11","","17.9","","0.2","","9.0","","9.0","","0.0","","","","","","0.0","","","","15","","53",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-12","2026","05","12","","19.1","","4.6","","11.8","","6.2","","0.0","","","","","","0.3","","","","33","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-13","2026","05","13","","25.4","","-0.1","","12.7","","5.3","","0.0","","","","","","0.0","","","","14","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-14","2026","05","14","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-15","2026","05","15","","18.1","","5.5","","11.8","","6.2","","0.0","","","","","","0.0","","","","28","","76",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-16","2026","05","16","","10.3","","0.3","","5.3","","12.7","","0.0","","","","","","0.0","","","","33","","50",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-17","2026","05","17","","10.6","","-0.4","","5.1","","12.9","","0.0","","","","","","5.8","","","","4","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-18","2026","05","18","","7.0","","3.5","","5.3","","12.7","","0.0","","","","","","0.7","","","","3","","38",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-19","2026","05","19","","9.2","","-1.4","","3.9","","14.1","","0.0","","","","","","0.0","","","","34","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-20","2026","05","20","","19.2","","-2.8","","8.2","","9.8","","0.0","","","","","","0.0","","","","20","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-21","2026","05","21","","21.6","","9.1","","15.4","","2.6","","0.0","","","","","","5.6","","","","18","","57",""
"-97.25","49.92","WINNIPEG A CS","502S001","2026-05-22","2026","05","22","","23.2","","9.2","","16.2","","1.8","","0.0","","","","","","0.5","","","","17","","44",""
