"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-01","2026","01","01","","-21.1","","-23.9","","-22.5","","40.5","","0.0","","","","","","0.0","","29","","28","","38",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-02","2026","01","02","","-15.7","","-22.4","","-19.0","","37.0","","0.0","","","","","","0.0","","29","","30","","39",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-03","2026","01","03","","-16.2","","-25.7","","-20.9","","38.9","","0.0","","","","","","0.5","","28","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-04","2026","01","04","","-15.7","","-20.0","","-17.8","","35.8","","0.0","","","","","","8.5","","29","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-05","2026","01","05","","-14.3","","-15.7","","-15.0","","33.0","","0.0","","","","","","0.1","","38","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-06","2026","01","06","","-13.3","","-22.7","","-18.0","","36.0","","0.0","","","","","","0.1","","37","","16","","34",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-07","2026","01","07","","-9.3","","-24.4","","-16.8","","34.8","","0.0","","","","","","0.0","","34","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-08","2026","01","08","","-7.4","","-23.4","","-15.4","","33.4","","0.0","","","","","","0.0","","32","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-09","2026","01","09","","-8.2","","-9.9","","-9.0","","27.0","","0.0","","","","","","1.9","","33","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-10","2026","01","10","","-9.7","","-18.6","","-14.2","","32.2","","0.0","","","","","","0.3","","36","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-11","2026","01","11","","3.4","","-13.2","","-4.9","","22.9","","0.0","","","","","","0.0","","37","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-12","2026","01","12","","3.7","","-6.9","","-1.6","","19.6","","0.0","","","","","","0.1","","34","","30","","37",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-13","2026","01","13","","3.4","","-26.7","","-11.7","","29.7","","0.0","","","","","","0.0","","31","","32","","40",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-14","2026","01","14","","-6.9","","-26.7","","-16.8","","34.8","","0.0","","","","","","0.9","","30","","17","","34",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-15","2026","01","15","","3.9","","-13.8","","-5.0","","23.0","","0.0","","","","","","0.2","","31","","32","","59",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-16","2026","01","16","","-13.8","","-23.2","","-18.5","","36.5","","0.0","","","","","","0.5","","32","","33","","48",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-17","2026","01","17","","-18.5","","-32.6","","-25.6","","43.6","","0.0","","","","","","1.8","","33","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-18","2026","01","18","","-18.4","","-25.5","","-22.0","","40.0","","0.0","","","","","","0.0","","35","","36","","42",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-19","2026","01","19","","-18.5","","-27.5","","-23.0","","41.0","","0.0","","","","","","0.0","","35","","27","","33",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-20","2026","01","20","","-15.9","","-28.3","","-22.1","","40.1","","0.0","","","","","","0.2","","35","","27","","32",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-21","2026","01","21","","-15.8","","-30.0","","-22.9","","40.9","","0.0","","","","","","0.0","","35","","34","","45",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-22","2026","01","22","","-26.9","","-33.2","","-30.0","","48.0","","0.0","","","","","","0.0","","35","","28","","47",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-23","2026","01","23","","-25.9","","-35.7","","-30.8","","48.8","","0.0","","","","","","0.0","","35","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-24","2026","01","24","","-24.1","","-40.9","","-32.5","","50.5","","0.0","","","","","","0.0","","35","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-25","2026","01","25","","-19.9","","-33.4","","-26.6","","44.6","","0.0","","","","","","0.0","","35","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-26","2026","01","26","","-16.4","","-22.6","","-19.5","","37.5","","0.0","","","","","","0.8","","36","","29","","47",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-27","2026","01","27","","-18.5","","-27.0","","-22.7","","40.7","","0.0","","","","","","0.0","","36","","31","","32",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-28","2026","01","28","","-16.9","","-22.6","","-19.8","","37.8","","0.0","","","","","","0.0","","36","","27","","35",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-29","2026","01","29","","-17.7","","-32.4","","-25.1","","43.1","","0.0","","","","","","0.0","","36","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-30","2026","01","30","","-13.4","","-32.9","","-23.2","","41.2","","0.0","","","","","","0.0","","36","","20","","35",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-01-31","2026","01","31","","-10.5","","-16.7","","-13.6","","31.6","","0.0","","","","","","7.2","","36","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-01","2026","02","01","","-10.4","","-26.9","","-18.6","","36.6","","0.0","","","","","","0.4","","43","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-02","2026","02","02","","-20.0","","-33.3","","-26.7","","44.7","","0.0","","","","","","0.0","","43","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-03","2026","02","03","","-7.8","","-22.2","","-15.0","","33.0","","0.0","","","","","","0.3","","42","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-04","2026","02","04","","-2.1","","-11.8","","-7.0","","25.0","","0.0","","","","","","1.3","","42","","19","","35",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-05","2026","02","05","","1.0","","-14.5","","-6.8","","24.8","","0.0","","","","","","2.0","","43","","35","","35",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-06","2026","02","06","","-14.5","","-25.7","","-20.1","","38.1","","0.0","","","","","","0.0","","42","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-07","2026","02","07","","-8.5","","-17.4","","-12.9","","30.9","","0.0","","","","","","0.0","","42","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-08","2026","02","08","","-5.2","","-8.5","","-6.9","","24.9","","0.0","","","","","","2.3","","44","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-09","2026","02","09","","-5.3","","-10.0","","-7.7","","25.7","","0.0","","","","","","3.2","","46","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-10","2026","02","10","","-9.2","","-14.1","","-11.7","","29.7","","0.0","","","","","","0.3","","48","","","","",""
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2026-02-11","2026","02","11","","-0.7","","-15.4","","-8.0","","26.0","","0.0","","","","","","0.0","","47","","","","",""
