"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-01","2026","01","01","","-18.1","","-27.4","","-22.7","","40.7","","0.0","","","","","","0.7","","5","","31","","31",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-02","2026","01","02","","-12.2","","-24.6","","-18.4","","36.4","","0.0","","","","","","0.1","","5","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-03","2026","01","03","","-12.2","","-25.6","","-18.9","","36.9","","0.0","","","","","","1.7","","9","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-04","2026","01","04","","-9.6","","-18.6","","-14.1","","32.1","","0.0","","","","","","0.5","","10","","10","","31",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-05","2026","01","05","","-6.1","","-9.6","","-7.8","","25.8","","0.0","","","","","","0.0","","9","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-06","2026","01","06","","-8.3","","-12.0","","-10.2","","28.2","","0.0","","","","","","0.1","","8","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-07","2026","01","07","","-5.0","","-13.7","","-9.4","","27.4","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-08","2026","01","08","","-1.9","","-15.8","","-8.9","","26.9","","0.0","","","","","","0.0","","7","","32","","40",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-09","2026","01","09","","-9.3","","-14.7","","-12.0","","30.0","","0.0","","","","","","1.3","","7","","31","","37",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-10","2026","01","10","","-9.2","","-20.8","","-15.0","","33.0","","0.0","","","","","","0.0","","8","","32","","41",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-11","2026","01","11","","-0.5","","-16.3","","-8.4","","26.4","","0.0","","","","","","2.4","","8","","24","","47",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-12","2026","01","12","","1.2","","-10.3","","-4.6","","22.6","","0.0","","","","","","0.0","","7","","24","","37",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-13","2026","01","13","","3.6","","-21.3","","-8.8","","26.8","","0.0","","","","","","0.0","","7","","32","","59",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-14","2026","01","14","","-8.8","","-23.6","","-16.2","","34.2","","0.0","","","","","","0.0","","7","","17","","52",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-15","2026","01","15","","0.8","","-10.2","","-4.7","","22.7","","0.0","","","","","","0.0","","7","","32","","65",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-16","2026","01","16","","-10.2","","-19.6","","-14.9","","32.9","","0.0","","","","","","0.0","","7","","33","","63",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-17","2026","01","17","","-18.1","","-25.8","","-22.0","","40.0","","0.0","","","","","","0.0","","7","","35","","54",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-18","2026","01","18","","-15.1","","-26.8","","-21.0","","39.0","","0.0","","","","","","0.3","","7","","34","","66",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-19","2026","01","19","","-18.1","","-26.9","","-22.5","","40.5","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-20","2026","01","20","","-16.3","","-26.8","","-21.5","","39.5","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-21","2026","01","21","","-13.9","","-23.7","","-18.8","","36.8","","0.0","","","","","","0.3","","7","","32","","63",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-22","2026","01","22","","-23.7","","-31.2","","-27.5","","45.5","","0.0","","","","","","0.0","","7","","35","","49",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-23","2026","01","23","","-26.1","","-30.6","","-28.3","","46.3","","0.0","","","","","","0.0","","7","","31","","41",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-24","2026","01","24","","-25.4","","-34.5","","-29.9","","47.9","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-25","2026","01","25","","-24.5","","-35.0","","-29.8","","47.8","","0.0","","","","","","0.0","","7","","24","","38",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-26","2026","01","26","","-15.6","","-24.5","","-20.1","","38.1","","0.0","","","","","","0.0","","7","","33","","62",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-27","2026","01","27","","-18.9","","-25.5","","-22.2","","40.2","","0.0","","","","","","0.0","","7","","32","","31",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-28","2026","01","28","","-18.7","","-25.9","","-22.3","","40.3","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-29","2026","01","29","","-16.0","","-25.6","","-20.8","","38.8","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-30","2026","01","30","","-17.4","","-28.1","","-22.8","","40.8","","0.0","","","","","","0.0","","7","","16","","35",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-01-31","2026","01","31","","-8.0","","-21.6","","-14.8","","32.8","","0.0","","","","","","0.6","","7","","16","","59",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-01","2026","02","01","","-8.5","","-15.4","","-12.0","","30.0","","0.0","","","","","","0.0","","6","","33","","49",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-02","2026","02","02","","-15.4","","-26.8","","-21.1","","39.1","","0.0","","","","","","0.0","","7","","","","",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-03","2026","02","03","","-7.5","","-24.5","","-16.0","","34.0","","0.0","","","","","","0.0","","6","","34","","32",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-04","2026","02","04","","-3.6","","-10.8","","-7.2","","25.2","","0.0","","","","","","0.0","","7","","17","","41",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-05","2026","02","05","","2.5","","-8.9","","-3.2","","21.2","","0.0","","","","","","0.1","","6","","35","","54",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-06","2026","02","06","","-7.6","","-17.0","","-12.3","","30.3","","0.0","","","","","","0.0","","6","","2","","45",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-07","2026","02","07","","-6.5","","-14.7","","-10.6","","28.6","","0.0","","","","","","0.0","","6","","16","","48",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-08","2026","02","08","","0.3","","-6.5","","-3.1","","21.1","","0.0","","","","","","0.0","","6","","16","","45",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-09","2026","02","09","","1.2","","-10.2","","-4.5","","22.5","","0.0","","","","","","0.0","","6","","30","","43",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-10","2026","02","10","","-7.7","","-17.7","","-12.7","","30.7","","0.0","","","","","","0.0","","6","","33","","42",""
"-98.04","50.50","OAKPOINT MARINE","504K0NM","2026-02-11","2026","02","11","","-3.3","","-19.1","","-11.2","","29.2","","0.0","","","","","","0.0","","6","","16","","34",""
