"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-01","2026","01","01","","-0.9","","-14.6","","-7.7","","25.7","","0.0","","","","","","8.7","","","","5","","44",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-02","2026","01","02","","","M","","M","","M","","M","","M","","","","","2.4","","9","","26","","80",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-03","2026","01","03","","","M","","M","","M","","M","","M","","","","","1.6","","","","25","","69",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-04","2026","01","04","","-9.2","","-16.8","","-13.0","","31.0","","0.0","","","","","","0.2","","","","34","","45",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-05","2026","01","05","","-9.3","","-13.7","","-11.5","","29.5","","0.0","","","","","","0.6","","","","35","","56",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-06","2026","01","06","","-6.8","","-12.8","","-9.8","","27.8","","0.0","","","","","","0.0","","0","","27","","36",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-07","2026","01","07","","","M","","M","","M","","M","","M","","","","","0.0","","0","","3","","38",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-08","2026","01","08","","","M","","M","","M","","M","","M","","","","","0.0","","0","","1","","40",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-09","2026","01","09","","","M","","M","","M","","M","","M","","","","","5.9","","","","18","","61",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-10","2026","01","10","","","M","","M","","M","","M","","M","","","","","2.5","","3","","27","","67",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-11","2026","01","11","","","M","","M","","M","","M","","M","","","","","7.2","","1","","6","","44",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-12","2026","01","12","","","M","","M","","M","","M","","M","","","","","1.2","","28","","28","","56",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-13","2026","01","13","","","M","","M","","M","","M","","M","","","","","0.0","","24","","28","","46",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-14","2026","01","14","","","M","","M","","M","","M","","M","","","","","2.8","","24","","15","","48",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-15","2026","01","15","","","M","","M","","M","","M","","M","","","","","13.9","","20","","8","","35",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-16","2026","01","16","","","M","","M","","M","","M","","M","","","","","4.2","","16","","33","","51",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-17","2026","01","17","","","M","","M","","M","","M","","M","","","","","2.3","","21","","27","","53",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-18","2026","01","18","","","M","","M","","M","","M","","M","","","","","0.0","","23","","","","",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-19","2026","01","19","","","M","","M","","M","","M","","M","","","","","0.0","","24","","23","","34",""
"-64.49","48.01","MISCOU ISLAND (AUT)","8103050","2026-01-20","2026","01","20","","","M","","M","","M","","M","","M","","","","","0.2","","21","","28","","77",""
