"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-52.94","48.17","GRATES COVE","840B053","2026-01-01","2026","01","01","","2.6","","-0.8","","0.9","","17.1","","0.0","","","","","","","","","","8","","55",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-02","2026","01","02","","5.4","","0.3","","2.8","","15.2","","0.0","","","","","","","","","","26","","75",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-03","2026","01","03","","1.5","","-3.8","","-1.1","","19.1","","0.0","","","","","","","","","","25","","67",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-04","2026","01","04","","-1.5","","-5.0","","-3.3","","21.3","","0.0","","","","","","","","","","26","","46",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-05","2026","01","05","","-1.1","","-8.3","","-4.7","","22.7","","0.0","","","","","","","","","","1","","74",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-06","2026","01","06","","-2.6","","-8.2","","-5.4","","23.4","","0.0","","","","","","","","","","28","","61",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-07","2026","01","07","","0.9","","-2.9","","-1.0","","19.0","","0.0","","","","","","","","","","11","","59",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-08","2026","01","08","","3.8","","0.6","","2.2","","15.8","","0.0","","","","","","","","","","33","","47",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-09","2026","01","09","","1.0","","-1.2","","-0.1","","18.1","","0.0","","","","","","","","","","35","","60",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-10","2026","01","10","","4.0","","-1.7","","1.1","","16.9","","0.0","","","","","","","","","","31","","67",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-11","2026","01","11","","1.8","","-2.4","","-0.3","","18.3","","0.0","","","","","","","","","","14","","73",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-12","2026","01","12","","8.4","","-1.0","","3.7","","14.3","","0.0","","","","","","","","","","26","","142",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-13","2026","01","13","","0.4","","-1.8","","-0.7","","18.7","","0.0","","","","","","","","","","31","","81",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-14","2026","01","14","","7.1","","-0.2","","3.5","","14.5","","0.0","","","","","","","","","","24","","53",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-15","2026","01","15","","11.9","","5.5","","8.7","","9.3","","0.0","","","","","","","","","","26","","69",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-16","2026","01","16","","16.7","","-0.2","","8.2","","9.8","","0.0","","","","","","","","","","26","","111",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-17","2026","01","17","","0.5","","-4.6","","-2.0","","20.0","","0.0","","","","","","","","","","29","","106",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-18","2026","01","18","","3.5","","-1.3","","1.1","","16.9","","0.0","","","","","","","","","","26","","47",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-19","2026","01","19","","7.2","","-0.1","","3.6","","14.4","","0.0","","","","","","","","","","25","","91",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-20","2026","01","20","","2.8","","-3.9","","-0.5","","18.5","","0.0","","","","","","","","","","27","","77",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-21","2026","01","21","","-2.8","","-9.4","","-6.1","","24.1","","0.0","","","","","","","","","","29","","96",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-22","2026","01","22","","3.3","","-8.0","","-2.4","","20.4","","0.0","","","","","","","","","","30","","93",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-23","2026","01","23","","1.9","","-5.9","","-2.0","","20.0","","0.0","","","","","","","","","","28","","75",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-24","2026","01","24","","-4.4","","-11.7","","-8.1","","26.1","","0.0","","","","","","","","","","31","","87",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-25","2026","01","25","","-8.3","","-13.8","","-11.0","","29.0","","0.0","","","","","","","","","","31","","77",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-26","2026","01","26","","-7.0","","-12.6","","-9.8","","27.8","","0.0","","","","","","","","","","31","","78",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-27","2026","01","27","","-1.9","","-7.4","","-4.7","","22.7","","0.0","","","","","","","","","","32","","74",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-28","2026","01","28","","-4.9","","-7.2","","-6.1","","24.1","","0.0","","","","","","","","","","29","","77",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-29","2026","01","29","","-3.8","","-6.7","","-5.3","","23.3","","0.0","","","","","","","","","","29","","75",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-30","2026","01","30","","-4.3","","-6.8","","-5.6","","23.6","","0.0","","","","","","","","","","28","","71",""
"-52.94","48.17","GRATES COVE","840B053","2026-01-31","2026","01","31","","0.6","","-6.0","","-2.7","","20.7","","0.0","","","","","","","","","","29","","65",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-01","2026","02","01","","-2.2","","-4.1","","-3.1","","21.1","","0.0","","","","","","","","","","11","","49",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-02","2026","02","02","","0.7","","-2.4","","-0.8","","18.8","","0.0","","","","","","","","","","4","","106",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-03","2026","02","03","","0.2","","-4.2","","-2.0","","20.0","","0.0","","","","","","","","","","3","","83",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-04","2026","02","04","","-1.9","","-5.3","","-3.6","","21.6","","0.0","","","","","","","","","","3","","37",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-05","2026","02","05","","-1.1","","-5.9","","-3.5","","21.5","","0.0","","","","","","","","","","","","",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-06","2026","02","06","","-0.6","","-3.7","","-2.2","","20.2","","0.0","","","","","","","","","","32","","53",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-07","2026","02","07","","-1.7","","-3.0","","-2.4","","20.4","","0.0","","","","","","","","","","36","","72",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-08","2026","02","08","","-1.2","","-3.6","","-2.4","","20.4","","0.0","","","","","","","","","","23","","51",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-09","2026","02","09","","0.6","","-5.1","","-2.2","","20.2","","0.0","","","","","","","","","","","M","52",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-10","2026","02","10","","0.6","","-0.5","","0.1","","17.9","","0.0","","","","","","","","","","17","","63",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-11","2026","02","11","","0.5","","-1.2","","-0.4","","18.4","","0.0","","","","","","","","","","3","","40",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-12","2026","02","12","","2.3","","-1.4","","0.4","","17.6","","0.0","","","","","","","","","","27","","81",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-13","2026","02","13","","1.5","","-0.2","","0.7","","17.3","","0.0","","","","","","","","","","31","","77",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-14","2026","02","14","","2.0","","-0.6","","0.7","","17.3","","0.0","","","","","","","","","","32","","40",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-15","2026","02","15","","0.5","","-1.7","","-0.6","","18.6","","0.0","","","","","","","","","","","","",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-16","2026","02","16","","-0.3","","-2.6","","-1.4","","19.4","","0.0","","","","","","","","","","7","","52",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-17","2026","02","17","","0.1","","-2.1","","-1.0","","19.0","","0.0","","","","","","","","","","9","","81",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-18","2026","02","18","","0.8","","-0.6","","0.1","","17.9","","0.0","","","","","","","","","","5","","99",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-19","2026","02","19","","-0.5","","-1.4","","-1.0","","19.0","","0.0","","","","","","","","","","19","","65",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-20","2026","02","20","","-0.4","","-6.8","","-3.6","","21.6","","0.0","","","","","","","","","","9","","75",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-21","2026","02","21","","-2.1","","-8.4","","-5.2","","23.2","","0.0","","","","","","","","","","19","","80",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-22","2026","02","22","","0.3","","-2.2","","-0.9","","18.9","","0.0","","","","","","","","","","9","","103",""
"-52.94","48.17","GRATES COVE","840B053","2026-02-23","2026","02","23","","-0.4","","-1.1","","-0.8","","18.8","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-02-24","2026","02","24","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-02-25","2026","02","25","","0.5","","-1.9","","-0.7","","18.7","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-02-26","2026","02","26","","3.3","","-2.9","","0.2","","17.8","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-02-27","2026","02","27","","2.5","","-3.9","","-0.7","","18.7","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-02-28","2026","02","28","","-2.0","","-5.4","","-3.7","","21.7","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-03-01","2026","03","01","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-03-02","2026","03","02","","0.8","","-10.6","","-4.9","","22.9","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-03-03","2026","03","03","","-1.1","","-10.1","","-5.6","","23.6","","0.0","","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-03-04","2026","03","04","","0.6","","-1.2","","-0.3","","18.3","","0.0","","","","","","","","","","29","","74",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-05","2026","03","05","","0.7","","-11.4","","-5.3","","23.3","","0.0","","","","","","","","","","32","","82",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-06","2026","03","06","","-3.2","","-10.7","","-7.0","","25.0","","0.0","","","","","","","","","","33","","66",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-07","2026","03","07","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-03-08","2026","03","08","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-03-09","2026","03","09","","5.5","","2.1","","3.8","","14.2","","0.0","","","","","","","","","","27","","65",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-10","2026","03","10","","8.6","","2.6","","5.6","","12.4","","0.0","","","","","","","","","","28","","84",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-11","2026","03","11","","3.3","","-5.2","","-1.0","","19.0","","0.0","","","","","","","","","","2","","47",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-12","2026","03","12","","10.2","","-4.9","","2.7","","15.3","","0.0","","","","","","","","","","19","","80",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-13","2026","03","13","","12.9","","-4.5","","4.2","","13.8","","0.0","","","","","","","","","","28","","110",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-14","2026","03","14","","1.3","","-5.0","","-1.8","","19.8","","0.0","","","","","","","","","","31","","75",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-15","2026","03","15","","-1.6","","-6.1","","-3.9","","21.9","","0.0","","","","","","","","","","9","","77",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-16","2026","03","16","","-0.8","","-6.4","","-3.6","","21.6","","0.0","","","","","","","","","","21","","61",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-17","2026","03","17","","13.7","","-0.8","","6.5","","11.5","","0.0","","","","","","","","","","27","","95",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-18","2026","03","18","","11.9","","-5.9","","3.0","","15.0","","0.0","","","","","","","","","","27","","92",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-19","2026","03","19","","-2.7","","-6.6","","-4.7","","22.7","","0.0","","","","","","","","","","11","","44",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-20","2026","03","20","","-1.4","","-5.2","","-3.3","","21.3","","0.0","","","","","","","","","","10","","47",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-21","2026","03","21","","1.8","","-4.4","","-1.3","","19.3","","0.0","","","","","","","","","","20","","51",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-22","2026","03","22","","2.3","","-4.7","","-1.2","","19.2","","0.0","","","","","","","","","","33","","66",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-23","2026","03","23","","-0.6","","-5.6","","-3.1","","21.1","","0.0","","","","","","","","","","11","","41",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-24","2026","03","24","","-0.3","","-6.7","","-3.5","","21.5","","0.0","","","","","","","","","","10","","81",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-25","2026","03","25","","1.1","","-6.7","","-2.8","","20.8","","0.0","","","","","","","","","","33","","68",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-26","2026","03","26","","4.9","","-3.9","","0.5","","17.5","","0.0","","","","","","","","","","21","","95",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-27","2026","03","27","","7.2","","-4.7","","1.3","","16.7","","0.0","","","","","","","","","","33","","76",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-28","2026","03","28","","-3.0","","-6.0","","-4.5","","22.5","","0.0","","","","","","","","","","33","","58",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-29","2026","03","29","","-4.9","","-7.2","","-6.1","","24.1","","0.0","","","","","","","","","","9","","51",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-30","2026","03","30","","1.4","","-7.2","","-2.9","","20.9","","0.0","","","","","","","","","","22","","82",""
"-52.94","48.17","GRATES COVE","840B053","2026-03-31","2026","03","31","","3.6","","-3.9","","-0.2","","18.2","","0.0","","","","","","","","","","23","","99",""
"-52.94","48.17","GRATES COVE","840B053","2026-04-01","2026","04","01","","-2.9","","-5.6","","-4.3","","22.3","","0.0","","","","","","","","","","7","","47",""
"-52.94","48.17","GRATES COVE","840B053","2026-04-02","2026","04","02","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-52.94","48.17","GRATES COVE","840B053","2026-04-03","2026","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-52.94","48.17","GRATES COVE","840B053","2026-04-04","2026","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-52.94","48.17","GRATES COVE","840B053","2026-04-05","2026","04","05","","","","","","","","","","","","","","","","","","","","","","",""
