"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-01","2026","01","01","","-27.6","","-31.8","","-29.7","","47.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-02","2026","01","02","","-28.2","","-34.2","","-31.2","","49.2","","0.0","","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-03","2026","01","03","","-33.6","","-42.1","","-37.9","","55.9","","0.0","","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-04","2026","01","04","","-41.8","","-45.7","","-43.8","","61.8","","0.0","","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-05","2026","01","05","","-44.8","","-46.8","","-45.8","","63.8","","0.0","","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-06","2026","01","06","","-46.4","","-47.6","","-47.0","","65.0","","0.0","","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-07","2026","01","07","","-46.8","","-47.9","","-47.4","","65.4","","0.0","","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-08","2026","01","08","","-44.5","","-47.9","","-46.2","","64.2","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-09","2026","01","09","","-42.8","","-46.6","","-44.7","","62.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-10","2026","01","10","","-29.9","","-43.7","","-36.8","","54.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-11","2026","01","11","","-32.1","","-35.4","","-33.7","","51.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-12","2026","01","12","","-27.3","","-32.1","","-29.7","","47.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-13","2026","01","13","","-25.4","","-30.2","","-27.8","","45.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-14","2026","01","14","","-25.2","","-26.3","","-25.7","","43.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-15","2026","01","15","","-25.8","","-36.3","","-31.0","","49.0","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-16","2026","01","16","","-21.6","","-32.3","","-26.9","","44.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-17","2026","01","17","","-21.4","","-29.0","","-25.2","","43.2","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-18","2026","01","18","","-18.6","","-29.3","","-23.9","","41.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-19","2026","01","19","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-20","2026","01","20","","-6.4","","-29.2","","-17.8","","35.8","","0.0","","","","","","","","","","34","","38",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-21","2026","01","21","","-19.3","","-29.0","","-24.2","","42.2","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-22","2026","01","22","","-18.5","","-26.4","","-22.4","","40.4","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-23","2026","01","23","","-13.7","","-22.4","","-18.0","","36.0","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-24","2026","01","24","","-4.9","","-17.4","","-11.2","","29.2","","0.0","","","","","","","","","","31","","42",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-25","2026","01","25","","-14.0","","-28.7","","-21.4","","39.4","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-26","2026","01","26","","-27.3","","-37.1","","-32.2","","50.2","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-27","2026","01","27","","-17.5","","-29.6","","-23.5","","41.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-28","2026","01","28","","-15.2","","-17.9","","-16.5","","34.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-29","2026","01","29","","-15.9","","-25.2","","-20.5","","38.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-30","2026","01","30","","-19.0","","-28.3","","-23.7","","41.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-01-31","2026","01","31","","-20.5","","-26.5","","-23.5","","41.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-01","2026","02","01","","-16.9","","-23.9","","-20.4","","38.4","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-02","2026","02","02","","-20.1","","-24.6","","-22.3","","40.3","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-03","2026","02","03","","-19.2","","-21.2","","-20.2","","38.2","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-04","2026","02","04","","-20.2","","-28.4","","-24.3","","42.3","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-05","2026","02","05","","-28.2","","-36.6","","-32.4","","50.4","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-06","2026","02","06","","-29.5","","-39.8","","-34.7","","52.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-07","2026","02","07","","-33.4","","-39.2","","-36.3","","54.3","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-08","2026","02","08","","-33.0","","-39.6","","-36.3","","54.3","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-09","2026","02","09","","-38.5","","-46.9","","-42.7","","60.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-10","2026","02","10","","-42.4","","-47.3","","-44.8","","62.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-11","2026","02","11","","-33.2","","-48.6","","-40.9","","58.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-12","2026","02","12","","-26.5","","-35.0","","-30.7","","48.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-13","2026","02","13","","-24.1","","-27.2","","-25.7","","43.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-14","2026","02","14","","-25.3","","-36.4","","-30.9","","48.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-15","2026","02","15","","-24.6","","-36.5","","-30.6","","48.6","","0.0","","","","","","","","","","31","","34",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-16","2026","02","16","","-27.0","","-37.1","","-32.1","","50.1","","0.0","","","","","","","","","","32","","34",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-17","2026","02","17","","-28.3","","-41.5","","-34.9","","52.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-18","2026","02","18","","-20.8","","-37.0","","-28.9","","46.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-19","2026","02","19","","-10.4","","-27.2","","-18.8","","36.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-20","2026","02","20","","-18.2","","-40.5","","-29.4","","47.4","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-21","2026","02","21","","-31.9","","-43.1","","-37.5","","55.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-22","2026","02","22","","-21.2","","-36.9","","-29.1","","47.1","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-23","2026","02","23","","-13.1","","-22.1","","-17.6","","35.6","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-24","2026","02","24","","-14.1","","-24.0","","-19.1","","37.1","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-25","2026","02","25","","-24.0","","-33.7","","-28.8","","46.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-26","2026","02","26","","-31.6","","-38.0","","-34.8","","52.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-27","2026","02","27","","-28.9","","-43.3","","-36.1","","54.1","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-02-28","2026","02","28","","-25.9","","-31.6","","-28.8","","46.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-01","2026","03","01","","-19.6","","-32.9","","-26.2","","44.2","","0.0","","","","","","","","","","28","","46",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-02","2026","03","02","","-20.0","","-40.0","","-30.0","","48.0","","0.0","","","","","","","","","","32","","46",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-03","2026","03","03","","-27.0","","-42.7","","-34.8","","52.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-04","2026","03","04","","-22.4","","-31.3","","-26.9","","44.9","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-05","2026","03","05","","-19.4","","-29.8","","-24.6","","42.6","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-06","2026","03","06","","-21.1","","-37.3","","-29.2","","47.2","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-07","2026","03","07","","-17.1","","-28.2","","-22.7","","40.7","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-08","2026","03","08","","-19.2","","-26.0","","-22.6","","40.6","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-09","2026","03","09","","-22.1","","-32.9","","-27.5","","45.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-10","2026","03","10","","-22.4","","-36.2","","-29.3","","47.3","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-11","2026","03","11","","-16.6","","-29.1","","-22.9","","40.9","","0.0","","","","","","","","","","29","","32",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-12","2026","03","12","","-17.3","","-27.3","","-22.3","","40.3","","0.0","","","","","","","","","","34","","34",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-13","2026","03","13","","-17.4","","-32.7","","-25.1","","43.1","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-14","2026","03","14","","-17.2","","-33.8","","-25.5","","43.5","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-15","2026","03","15","","-17.8","","-32.3","","-25.0","","43.0","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-16","2026","03","16","","-21.8","","-27.9","","-24.8","","42.8","","0.0","","","","","","","","","","","","",""
"-130.23","67.18","LITTLE CHICAGO","220B6Q3","2026-03-17","2026","03","17","","-23.2","","-31.4","","-27.3","","45.3","","0.0","","","","","","","","","","","","",""
