"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-01","2026","01","01","","-27.2","","-33.1","","-30.1","","48.1","","0.0","","","","","","0.0","","71","","","","",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-02","2026","01","02","","-24.9","","-28.0","","-26.5","","44.5","","0.0","","","","","","0.0","","71","","34","","36",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-03","2026","01","03","","-22.7","","-28.3","","-25.5","","43.5","","0.0","","","","","","0.0","","71","","34","","38",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-04","2026","01","04","","-18.6","","-24.0","","-21.3","","39.3","","0.0","","","","","","0.0","","71","","5","","38",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-05","2026","01","05","","-19.2","","-29.0","","-24.1","","42.1","","0.0","","","","","","0.3","","71","","16","","37",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-06","2026","01","06","","-28.4","","-35.8","","-32.1","","50.1","","0.0","","","","","","0.1","","69","","32","","38",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-07","2026","01","07","","-26.1","","-29.6","","-27.9","","45.9","","0.0","","","","","","0.0","","71","","32","","37",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-08","2026","01","08","","-23.1","","-31.8","","-27.4","","45.4","","0.0","","","","","","0.0","","70","","18","","31",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-09","2026","01","09","","-30.9","","-38.6","","-34.8","","52.8","","0.0","","","","","","0.0","","71","","","","",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-10","2026","01","10","","-28.5","","-39.3","","-33.9","","51.9","","0.0","","","","","","0.0","","71","","","","",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-11","2026","01","11","","","M","","M","","M","","M","","M","","","","","","M","70","","","M","","M"
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-12","2026","01","12","","-26.2","","-36.9","","-31.6","","49.6","","0.0","","","","","","0.0","","70","","","","",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-13","2026","01","13","","-23.2","","-33.4","","-28.3","","46.3","","0.0","","","","","","1.0","","70","","27","","42",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-14","2026","01","14","","-33.3","","-39.9","","-36.6","","54.6","","0.0","","","","","","0.0","","71","","24","","37",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-15","2026","01","15","","-26.3","","-39.9","","-33.1","","51.1","","0.0","","","","","","0.0","","71","","32","","48",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-16","2026","01","16","","-26.8","","-34.9","","-30.9","","48.9","","0.0","","","","","","0.0","","71","","31","","40",""
"-119.35","76.24","MOULD BAY CS","250M001","2026-01-17","2026","01","17","","-30.5","","-35.5","","-33.0","","51.0","","0.0","","","","","","0.0","","71","","29","","47",""
