"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-01","2026","01","01","","-18.9","","-22.5","","-20.7","","38.7","","0.0","","","","","","1.5","","","","29","","74",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-02","2026","01","02","","-14.3","","-18.9","","-16.6","","34.6","","0.0","","","","","","0.0","","","","27","","42",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-03","2026","01","03","","-14.2","","-18.2","","-16.2","","34.2","","0.0","","","","","","0.0","","","","28","","50",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-04","2026","01","04","","-18.2","","-26.4","","-22.3","","40.3","","0.0","","","","","","0.0","","","","26","","46",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-05","2026","01","05","","-23.6","","-27.0","","-25.3","","43.3","","0.0","","","","","","0.0","","","","","M","","M"
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-06","2026","01","06","","-15.3","","-25.4","","-20.4","","38.4","","0.0","","","","","","0.3","","","","28","","35",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-07","2026","01","07","","-11.7","","-25.0","","-18.4","","36.4","","0.0","","","","","","0.0","","","","20","","37",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-08","2026","01","08","","-7.8","","-14.2","","-11.0","","29.0","","0.0","","","","","","0.0","","","","","M","","M"
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-09","2026","01","09","","-11.4","","-15.6","","-13.5","","31.5","","0.0","","","","","","0.0","","","","","M","","M"
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-10","2026","01","10","","-15.6","","-27.5","","-21.6","","39.6","","0.0","","","","","","0.0","","","","","M","","M"
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-11","2026","01","11","","-10.0","","-26.9","","-18.5","","36.5","","0.0","","","","","","0.2","","","","20","","37",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-12","2026","01","12","","-10.4","","-17.5","","-14.0","","32.0","","0.0","","","","","","0.0","","","","33","","45",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-13","2026","01","13","","-16.0","","-23.8","","-19.9","","37.9","","0.0","","","","","","0.0","","","","31","","46",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-14","2026","01","14","","-16.9","","-26.3","","-21.6","","39.6","","0.0","","","","","","0.0","","","","33","","46",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-15","2026","01","15","","-14.0","","-26.6","","-20.3","","38.3","","0.0","","","","","","0.0","","","","16","","37",""
"-87.68","56.02","FORT SEVERN A","6012501","2026-01-16","2026","01","16","","-16.6","","-26.6","","-21.6","","39.6","","0.0","","","","","","0.0","","","","32","","48",""
