"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-01","2026","01","01","","-17.3","","-25.0","","-21.1","","39.1","","0.0","","","","","","0.0","","23","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-02","2026","01","02","","-14.5","","-23.5","","-19.0","","37.0","","0.0","","","","","","0.0","","23","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-03","2026","01","03","","-10.9","","-19.9","","-15.4","","33.4","","0.0","","","","","","0.9","","22","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-04","2026","01","04","","-8.6","","-18.4","","-13.5","","31.5","","0.0","","","","","","5.3","","23","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-05","2026","01","05","","-5.4","","-8.8","","-7.1","","25.1","","0.0","","","","","","0.0","","28","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-06","2026","01","06","","-4.2","","-6.4","","-5.3","","23.3","","0.0","","","","","","0.0","","27","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-07","2026","01","07","","-0.3","","-11.1","","-5.7","","23.7","","0.0","","","","","","0.0","","27","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-08","2026","01","08","","0.8","","-4.0","","-1.6","","19.6","","0.0","","","","","","0.0","","26","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-09","2026","01","09","","-1.4","","-5.3","","-3.3","","21.3","","0.0","","","","","","1.2","","25","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-10","2026","01","10","","-2.6","","-9.9","","-6.3","","24.3","","0.0","","","","","","3.9","","29","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-11","2026","01","11","","-4.8","","-10.7","","-7.7","","25.7","","0.0","","","","","","2.8","","30","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-12","2026","01","12","","0.1","","-6.9","","-3.4","","21.4","","0.0","","","","","","0.3","","33","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-13","2026","01","13","","1.2","","-14.5","","-6.6","","24.6","","0.0","","","","","","2.8","","33","","33","","45",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-14","2026","01","14","","-12.8","","-26.6","","-19.7","","37.7","","0.0","","","","","","0.0","","32","","35","","32",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-15","2026","01","15","","-9.9","","-26.7","","-18.3","","36.3","","0.0","","","","","","6.6","","32","","16","","34",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-16","2026","01","16","","-5.3","","-10.4","","-7.8","","25.8","","0.0","","","","","","0.6","","40","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-17","2026","01","17","","-9.1","","-18.1","","-13.6","","31.6","","0.0","","","","","","0.6","","40","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-18","2026","01","18","","-15.6","","-21.9","","-18.7","","36.7","","0.0","","","","","","1.7","","39","","1","","33",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-19","2026","01","19","","-21.9","","-28.6","","-25.2","","43.2","","0.0","","","","","","0.0","","41","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-20","2026","01","20","","-18.6","","-29.4","","-24.0","","42.0","","0.0","","","","","","0.0","","40","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-21","2026","01","21","","-14.2","","-26.8","","-20.5","","38.5","","0.0","","","","","","0.1","","40","","34","","32",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2026-01-22","2026","01","22","","-22.3","","-33.6","","-27.9","","45.9","","0.0","","","","","","0.0","","41","","28","","35",""
