"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-01","2026","01","01","","-6.6","","-16.0","","-11.3","","29.3","","0.0","","","","","","","","","","5","","50",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-02","2026","01","02","","-14.1","","-20.0","","-17.0","","35.0","","0.0","","","","","","","","","","24","","56",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-03","2026","01","03","","-14.2","","-20.5","","-17.4","","35.4","","0.0","","","","","","","","","","24","","50",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-04","2026","01","04","","-13.3","","-20.1","","-16.7","","34.7","","0.0","","","","","","","","","","23","","39",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-05","2026","01","05","","-11.2","","-19.4","","-15.3","","33.3","","0.0","","","","","","","","","","23","","45",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-06","2026","01","06","","-3.5","","-11.7","","-7.6","","25.6","","0.0","","","","","","","","","","","","",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-07","2026","01","07","","-1.7","","-3.9","","-2.8","","20.8","","0.0","","","","","","","","","","5","","48",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-08","2026","01","08","","1.5","","-2.2","","-0.3","","18.3","","0.0","","","","","","","","","","23","","34",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-09","2026","01","09","","5.3","","-0.1","","2.6","","15.4","","0.0","","","","","","","","","","24","","63",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-10","2026","01","10","","5.5","","-3.4","","1.0","","17.0","","0.0","","","","","","","","","","5","","67",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-11","2026","01","11","","-2.7","","-4.3","","-3.5","","21.5","","0.0","","","","","","","","","","5","","70",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-12","2026","01","12","","-3.2","","-9.7","","-6.5","","24.5","","0.0","","","","","","","","","","24","","53",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-13","2026","01","13","","1.5","","-5.8","","-2.2","","20.2","","0.0","","","","","","","","","","","","",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-14","2026","01","14","","4.3","","-0.4","","1.9","","16.1","","0.0","","","","","","","","","","24","","35",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-15","2026","01","15","","1.7","","-9.7","","-4.0","","22.0","","0.0","","","","","","","","","","6","","50",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-16","2026","01","16","","-9.7","","-15.3","","-12.5","","30.5","","0.0","","","","","","","","","","25","","60",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-17","2026","01","17","","-6.0","","-14.6","","-10.3","","28.3","","0.0","","","","","","","","","","24","","33",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-18","2026","01","18","","-1.4","","-8.3","","-4.9","","22.9","","0.0","","","","","","","","","","23","","59",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-19","2026","01","19","","-4.1","","-10.6","","-7.4","","25.4","","0.0","","","","","","","","","","24","","64",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-20","2026","01","20","","-5.0","","-14.8","","-9.9","","27.9","","0.0","","","","","","","","","","23","","66",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-21","2026","01","21","","-7.3","","-14.0","","-10.7","","28.7","","0.0","","","","","","","","","","","","",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-22","2026","01","22","","-1.5","","-8.3","","-4.9","","22.9","","0.0","","","","","","","","","","23","","68",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-23","2026","01","23","","-6.3","","-20.0","","-13.1","","31.1","","0.0","","","","","","","","","","23","","56",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-24","2026","01","24","","-19.0","","-24.7","","-21.9","","39.9","","0.0","","","","","","","","","","23","","63",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-25","2026","01","25","","-12.5","","-24.6","","-18.6","","36.6","","0.0","","","","","","","","","","6","","48",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-26","2026","01","26","","-9.2","","-13.5","","-11.4","","29.4","","0.0","","","","","","","","","","5","","56",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-27","2026","01","27","","-11.0","","-16.2","","-13.6","","31.6","","0.0","","","","","","","","","","23","","41",""
"-70.90","46.92","ILE D'ORLEANS - QUAI DE ST-JEAN","70132G0","2026-01-28","2026","01","28","","-10.4","","-18.8","","-14.6","","32.6","","0.0","","","","","","","","","","23","","44",""
