"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-01","2026","01","01","","-7.7","","-17.5","","-12.6","","30.6","","0.0","","","","","","1.3","","21","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-02","2026","01","02","","-16.4","","-23.0","","-19.7","","37.7","","0.0","","","","","","0.0","","26","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-03","2026","01","03","","-15.5","","-25.6","","-20.6","","38.6","","0.0","","","","","","0.0","","24","","27","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-04","2026","01","04","","-14.7","","-27.7","","-21.2","","39.2","","0.0","","","","","","0.0","","19","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-05","2026","01","05","","-14.3","","-25.4","","-19.8","","37.8","","0.0","","","","","","0.1","","22","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-06","2026","01","06","","-5.3","","-16.0","","-10.6","","28.6","","0.0","","","","","","2.6","","22","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-07","2026","01","07","","-2.2","","-7.4","","-4.8","","22.8","","0.0","","","","","","0.9","","22","","7","","34",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-08","2026","01","08","","1.0","","-2.8","","-0.9","","18.9","","0.0","","","","","","0.0","","22","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-09","2026","01","09","","5.2","","-1.1","","2.1","","15.9","","0.0","","","","","","17.6","","22","","28","","69",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-10","2026","01","10","","4.7","","-7.3","","-1.3","","19.3","","0.0","","","","","","0.0","","17","","27","","73",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-11","2026","01","11","","-3.0","","-4.8","","-3.9","","21.9","","0.0","","","","","","7.7","","22","","6","","47",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-12","2026","01","12","","-4.8","","-11.2","","-8.0","","26.0","","0.0","","","","","","0.0","","26","","25","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-13","2026","01","13","","0.3","","-7.9","","-3.8","","21.8","","0.0","","","","","","7.3","","23","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-14","2026","01","14","","3.6","","-0.7","","1.5","","16.5","","0.0","","","","","","6.2","","31","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-15","2026","01","15","","1.2","","-11.8","","-5.3","","23.3","","0.0","","","","","","10.0","","24","","25","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-16","2026","01","16","","-11.5","","-19.6","","-15.6","","33.6","","0.0","","","","","","2.8","","35","","26","","42",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-17","2026","01","17","","-6.4","","-17.4","","-11.9","","29.9","","0.0","","","","","","0.3","","32","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-18","2026","01","18","","-2.8","","-14.7","","-8.8","","26.8","","0.0","","","","","","0.7","","30","","24","","38",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-19","2026","01","19","","-5.8","","-19.0","","-12.4","","30.4","","0.0","","","","","","1.6","","30","","24","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-20","2026","01","20","","-7.1","","-16.5","","-11.8","","29.8","","0.0","","","","","","0.1","","30","","27","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-21","2026","01","21","","-8.1","","-17.2","","-12.7","","30.7","","0.0","","","","","","2.0","","28","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-22","2026","01","22","","-2.1","","-9.0","","-5.5","","23.5","","0.0","","","","","","8.4","","32","","25","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2026-01-23","2026","01","23","","-7.8","","-22.0","","-14.9","","32.9","","0.0","","","","","","0.0","","48","","27","","46",""
