"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-01","2026","01","01","","-0.8","","-9.7","","-5.2","","23.2","","0.0","","","","","","","","","","7","","60",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-02","2026","01","02","","-0.1","","-7.4","","-3.7","","21.7","","0.0","","","","","","","","","","20","","68",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-03","2026","01","03","","-6.8","","-14.6","","-10.7","","28.7","","0.0","","","","","","","","","","22","","70",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-04","2026","01","04","","-13.5","","-16.4","","-14.9","","32.9","","0.0","","","","","","","","","","1","","50",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-05","2026","01","05","","-11.3","","-17.1","","-14.2","","32.2","","0.0","","","","","","","","","","29","","48",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-06","2026","01","06","","-8.7","","-16.8","","-12.8","","30.8","","0.0","","","","","","","","","","33","","31",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-07","2026","01","07","","-2.3","","-9.7","","-6.0","","24.0","","0.0","","","","","","","","","","5","","32",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-08","2026","01","08","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-09","2026","01","09","","-0.2","","-4.4","","-2.3","","20.3","","0.0","","","","","","","","","","16","","69",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-10","2026","01","10","","1.8","","-7.1","","-2.7","","20.7","","0.0","","","","","","","","","","29","","72",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-11","2026","01","11","","-6.5","","-9.1","","-7.8","","25.8","","0.0","","","","","","","","","","5","","52",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-12","2026","01","12","","-5.9","","-9.7","","-7.8","","25.8","","0.0","","","","","","","","","","1","","76",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-13","2026","01","13","","-4.1","","-10.9","","-7.5","","25.5","","0.0","","","","","","","","","","27","","47",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-14","2026","01","14","","1.1","","-5.1","","-2.0","","20.0","","0.0","","","","","","","","","","4","","54",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-15","2026","01","15","","2.0","","-10.3","","-4.1","","22.1","","0.0","","","","","","","","","","1","","71",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-16","2026","01","16","","-9.8","","-15.6","","-12.7","","30.7","","0.0","","","","","","","","","","1","","57",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-17","2026","01","17","","-7.8","","-14.1","","-11.0","","29.0","","0.0","","","","","","","","","","28","","63",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-18","2026","01","18","","-1.7","","-14.1","","-7.9","","25.9","","0.0","","","","","","","","","","19","","41",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-19","2026","01","19","","-2.6","","-5.5","","-4.0","","22.0","","0.0","","","","","","","","","","5","","34",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-20","2026","01","20","","-2.9","","-16.6","","-9.8","","27.8","","0.0","","","","","","","","","","25","","95",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-21","2026","01","21","","-15.6","","-20.9","","-18.3","","36.3","","0.0","","","","","","","","","","28","","72",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-22","2026","01","22","","-10.9","","-19.0","","-14.9","","32.9","","0.0","","","","","","","","","","6","","53",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-23","2026","01","23","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-24","2026","01","24","","-14.5","","-20.7","","-17.6","","35.6","","0.0","","","","","","","","","","29","","64",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-25","2026","01","25","","-15.1","","-22.2","","-18.6","","36.6","","0.0","","","","","","","","","","29","","60",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-26","2026","01","26","","-13.4","","-20.0","","-16.7","","34.7","","0.0","","","","","","","","","","33","","35",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-27","2026","01","27","","-10.7","","-16.2","","-13.5","","31.5","","0.0","","","","","","","","","","35","","40",""
"-64.21","50.22","ILE AUX PERROQUETS","7043B79","2026-01-28","2026","01","28","","-8.9","","-14.0","","-11.4","","29.4","","0.0","","","","","","","","","","32","","46",""
