"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.28","51.87","LAC EON","704C64L","2026-01-01","2026","01","01","","-7.9","","-19.0","","-13.5","","31.5","","0.0","","","","","","0.8","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-02","2026","01","02","","-4.1","","-12.3","","-8.2","","26.2","","0.0","","","","","","6.5","","","","14","","46",""
"-63.28","51.87","LAC EON","704C64L","2026-01-03","2026","01","03","","-12.3","","-26.3","","-19.3","","37.3","","0.0","","","","","","0.6","","","","18","","35",""
"-63.28","51.87","LAC EON","704C64L","2026-01-04","2026","01","04","","-19.0","","-28.7","","-23.8","","41.8","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-05","2026","01","05","","-20.1","","-28.2","","-24.2","","42.2","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-06","2026","01","06","","-14.8","","-27.4","","-21.1","","39.1","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-07","2026","01","07","","-5.6","","-15.6","","-10.6","","28.6","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-08","2026","01","08","","-2.2","","-10.6","","-6.4","","24.4","","0.0","","","","","","0.2","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-09","2026","01","09","","-4.8","","-20.9","","-12.9","","30.9","","0.0","","","","","","0.4","","","","14","","46",""
"-63.28","51.87","LAC EON","704C64L","2026-01-10","2026","01","10","","-3.0","","-14.2","","-8.6","","26.6","","0.0","","","","","","3.1","","","","34","","58",""
"-63.28","51.87","LAC EON","704C64L","2026-01-11","2026","01","11","","-13.2","","-16.4","","-14.8","","32.8","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-12","2026","01","12","","-12.4","","-17.7","","-15.0","","33.0","","0.0","","","","","","1.2","","","","36","","34",""
"-63.28","51.87","LAC EON","704C64L","2026-01-13","2026","01","13","","-11.4","","-18.7","","-15.1","","33.1","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-14","2026","01","14","","-1.5","","-15.3","","-8.4","","26.4","","0.0","","","","","","2.3","","","","22","","34",""
"-63.28","51.87","LAC EON","704C64L","2026-01-15","2026","01","15","","-0.9","","-22.1","","-11.5","","29.5","","0.0","","","","","","5.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-16","2026","01","16","","-21.4","","-26.5","","-23.9","","41.9","","0.0","","","","","","1.1","","","","34","","41",""
"-63.28","51.87","LAC EON","704C64L","2026-01-17","2026","01","17","","-14.0","","-25.1","","-19.6","","37.6","","0.0","","","","","","0.0","","","","24","","45",""
"-63.28","51.87","LAC EON","704C64L","2026-01-18","2026","01","18","","-9.0","","-28.0","","-18.5","","36.5","","0.0","","","","","","0.1","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-19","2026","01","19","","-9.1","","-20.9","","-15.0","","33.0","","0.0","","","","","","0.2","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-20","2026","01","20","","-9.2","","-25.2","","-17.2","","35.2","","0.0","","","","","","2.7","","","","30","","39",""
"-63.28","51.87","LAC EON","704C64L","2026-01-21","2026","01","21","","-25.2","","-31.3","","-28.3","","46.3","","0.0","","","","","","0.0","","","","28","","39",""
"-63.28","51.87","LAC EON","704C64L","2026-01-22","2026","01","22","","-20.2","","-35.9","","-28.0","","46.0","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-23","2026","01","23","","-13.3","","-34.8","","-24.0","","42.0","","0.0","","","","","","0.5","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-24","2026","01","24","","-21.3","","-29.3","","-25.3","","43.3","","0.0","","","","","","0.0","","","","30","","52",""
"-63.28","51.87","LAC EON","704C64L","2026-01-25","2026","01","25","","-23.2","","-32.0","","-27.6","","45.6","","0.0","","","","","","0.0","","","","31","","38",""
"-63.28","51.87","LAC EON","704C64L","2026-01-26","2026","01","26","","-20.3","","-32.3","","-26.3","","44.3","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-27","2026","01","27","","-21.2","","-26.9","","-24.0","","42.0","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-28","2026","01","28","","-11.1","","-22.7","","-16.9","","34.9","","0.0","","","","","","2.7","","","","33","","37",""
"-63.28","51.87","LAC EON","704C64L","2026-01-29","2026","01","29","","-4.9","","-13.9","","-9.4","","27.4","","0.0","","","","","","0.7","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-30","2026","01","30","","-9.9","","-14.9","","-12.4","","30.4","","0.0","","","","","","1.7","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-01-31","2026","01","31","","-12.4","","-19.9","","-16.1","","34.1","","0.0","","","","","","0.0","","","","30","","34",""
"-63.28","51.87","LAC EON","704C64L","2026-02-01","2026","02","01","","-14.3","","-21.8","","-18.0","","36.0","","0.0","","","","","","0.0","","","","","","",""
"-63.28","51.87","LAC EON","704C64L","2026-02-02","2026","02","02","","-9.0","","-20.5","","-14.7","","32.7","","0.0","","","","","","0.0","","","","","M","","M"
"-63.28","51.87","LAC EON","704C64L","2026-02-03","2026","02","03","","-6.6","","-24.3","","-15.5","","33.5","","0.0","","","","","","0.0","","","","","M","","M"
