"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-01","2026","01","01","","-2.8","","-14.9","","-8.9","","26.9","","0.0","","","","","","3.8","","","","6","","51",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-02","2026","01","02","","-5.3","","-13.7","","-9.5","","27.5","","0.0","","","","","","5.6","","","","26","","76",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-03","2026","01","03","","-12.7","","-17.3","","-15.0","","33.0","","0.0","","","","","","0.0","","","","25","","78",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-04","2026","01","04","","-13.8","","-21.4","","-17.6","","35.6","","0.0","","","","","","0.1","","","","28","","36",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-05","2026","01","05","","-11.6","","-19.4","","-15.5","","33.5","","0.0","","","","","","0.0","","","","27","","44",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-06","2026","01","06","","-5.1","","-18.8","","-11.9","","29.9","","0.0","","","","","","0.1","","","","27","","36",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-07","2026","01","07","","-2.0","","-8.2","","-5.1","","23.1","","0.0","","","","","","0.1","","","","3","","33",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-08","2026","01","08","","-0.8","","-3.9","","-2.3","","20.3","","0.0","","","","","","1.5","","","","24","","35",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-09","2026","01","09","","0.3","","-6.0","","-2.8","","20.8","","0.0","","","","","","10.0","","","","6","","37",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-10","2026","01","10","","1.7","","-9.0","","-3.7","","21.7","","0.0","","","","","","3.7","","","","28","","76",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-11","2026","01","11","","-3.6","","-8.9","","-6.3","","24.3","","0.0","","","","","","5.8","","","","6","","63",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-12","2026","01","12","","-5.1","","-9.4","","-7.3","","25.3","","0.0","","","","","","1.8","","","","28","","48",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-13","2026","01","13","","-0.3","","-8.5","","-4.4","","22.4","","0.0","","","","","","0.3","","","","27","","49",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-14","2026","01","14","","0.4","","-1.1","","-0.3","","18.3","","0.0","","","","","","8.6","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-15","2026","01","15","","0.6","","-10.5","","-4.9","","22.9","","0.0","","","","","","9.2","","","","2","","36",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-16","2026","01","16","","-10.5","","-16.7","","-13.6","","31.6","","0.0","","","","","","1.9","","","","25","","45",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-17","2026","01","17","","-9.1","","-14.5","","-11.8","","29.8","","0.0","","","","","","0.2","","","","26","","55",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-18","2026","01","18","","-1.8","","-11.2","","-6.5","","24.5","","0.0","","","","","","3.0","","","","23","","61",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-19","2026","01","19","","-3.3","","-6.5","","-4.9","","22.9","","0.0","","","","","","0.9","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-20","2026","01","20","","-4.5","","-21.6","","-13.0","","31.0","","0.0","","","","","","1.4","","","","25","","76",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-21","2026","01","21","","-11.7","","-24.0","","-17.9","","35.9","","0.0","","","","","","0.4","","","","25","","47",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-22","2026","01","22","","-6.0","","-13.8","","-9.9","","27.9","","0.0","","","","","","1.9","","","","24","","32",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-23","2026","01","23","","-6.0","","-21.5","","-13.7","","31.7","","0.0","","","","","","0.0","","","","27","","62",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-24","2026","01","24","","-17.5","","-23.8","","-20.7","","38.7","","0.0","","","","","","0.0","","","","28","","58",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-25","2026","01","25","","-16.6","","-24.5","","-20.5","","38.5","","0.0","","","","","","0.0","","","","28","","54",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-26","2026","01","26","","-13.6","","-21.2","","-17.4","","35.4","","0.0","","","","","","0.1","","","","3","","31",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-27","2026","01","27","","-10.7","","-17.2","","-13.9","","31.9","","0.0","","","","","","0.2","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-28","2026","01","28","","-9.0","","-18.4","","-13.7","","31.7","","0.0","","","","","","0.1","","","","28","","44",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-29","2026","01","29","","-6.4","","-13.6","","-10.0","","28.0","","0.0","","","","","","1.0","","","","23","","43",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-30","2026","01","30","","-2.8","","-12.1","","-7.4","","25.4","","0.0","","","","","","0.7","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-01-31","2026","01","31","","-6.0","","-13.8","","-9.9","","27.9","","0.0","","","","","","0.0","","","","24","","45",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-01","2026","02","01","","-9.5","","-17.1","","-13.3","","31.3","","0.0","","","","","","0.1","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-02","2026","02","02","","-3.6","","-11.5","","-7.6","","25.6","","0.0","","","","","","0.1","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-03","2026","02","03","","-4.6","","-11.8","","-8.2","","26.2","","0.0","","","","","","0.3","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-04","2026","02","04","","-5.1","","-11.4","","-8.3","","26.3","","0.0","","","","","","0.2","","","","25","","32",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-05","2026","02","05","","-5.8","","-14.8","","-10.3","","28.3","","0.0","","","","","","0.0","","","","28","","33",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-06","2026","02","06","","-8.7","","-17.6","","-13.2","","31.2","","0.0","","","","","","0.4","","","","5","","32",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-07","2026","02","07","","-4.9","","-9.8","","-7.4","","25.4","","0.0","","","","","","0.1","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-08","2026","02","08","","-4.1","","-12.0","","-8.0","","26.0","","0.0","","","","","","0.1","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-09","2026","02","09","","-4.7","","-12.2","","-8.4","","26.4","","0.0","","","","","","0.0","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-10","2026","02","10","","-6.9","","-13.0","","-10.0","","28.0","","0.0","","","","","","0.0","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-11","2026","02","11","","-1.8","","-10.2","","-6.0","","24.0","","0.0","","","","","","0.6","","","","5","","44",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-12","2026","02","12","","-1.6","","-11.2","","-6.4","","24.4","","0.0","","","","","","0.0","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-13","2026","02","13","","-4.3","","-14.1","","-9.2","","27.2","","0.0","","","","","","0.0","","","","26","","49",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-14","2026","02","14","","-4.3","","-11.9","","-8.1","","26.1","","0.0","","","","","","0.3","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-15","2026","02","15","","-0.8","","-4.6","","-2.7","","20.7","","0.0","","","","","","3.8","","","","4","","40",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-16","2026","02","16","","-1.4","","-3.7","","-2.6","","20.6","","0.0","","","","","","0.1","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-17","2026","02","17","","-1.7","","-4.6","","-3.1","","21.1","","0.0","","","","","","5.0","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-18","2026","02","18","","-1.1","","-6.0","","-3.5","","21.5","","0.0","","","","","","2.9","","","","3","","34",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-19","2026","02","19","","-2.4","","-10.5","","-6.5","","24.5","","0.0","","","","","","0.0","","","","24","","49",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-20","2026","02","20","","-7.9","","-16.2","","-12.0","","30.0","","0.0","","","","","","0.0","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-21","2026","02","21","","0.0","","-16.6","","-8.3","","26.3","","0.0","","","","","","0.1","","","","3","","42",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-22","2026","02","22","","-4.1","","-10.4","","-7.2","","25.2","","0.0","","","","","","0.3","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-23","2026","02","23","","-3.5","","-10.3","","-6.9","","24.9","","0.0","","","","","","0.0","","","","6","","58",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-24","2026","02","24","","-3.3","","-11.0","","-7.2","","25.2","","0.0","","","","","","0.0","","","","3","","40",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-25","2026","02","25","","-3.2","","-13.8","","-8.5","","26.5","","0.0","","","","","","0.2","","","","21","","35",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-26","2026","02","26","","-2.2","","-10.7","","-6.5","","24.5","","0.0","","","","","","1.9","","","","23","","54",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-27","2026","02","27","","-5.0","","-15.1","","-10.0","","28.0","","0.0","","","","","","0.2","","","","24","","48",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-02-28","2026","02","28","","2.1","","-10.5","","-4.2","","22.2","","0.0","","","","","","2.8","","","","27","","70",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-01","2026","03","01","","-10.5","","-19.8","","-15.1","","33.1","","0.0","","","","","","0.1","","","","27","","41",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-02","2026","03","02","","-9.2","","-20.9","","-15.0","","33.0","","0.0","","","","","","0.1","","","","27","","61",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-03","2026","03","03","","-1.1","","-10.2","","-5.7","","23.7","","0.0","","","","","","0.6","","","","24","","81",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-04","2026","03","04","","-1.2","","-19.3","","-10.3","","28.3","","0.0","","","","","","1.6","","","","27","","82",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-05","2026","03","05","","-10.0","","-22.6","","-16.3","","34.3","","0.0","","","","","","0.0","","","","24","","40",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-06","2026","03","06","","-5.7","","-17.4","","-11.5","","29.5","","0.0","","","","","","0.0","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-07","2026","03","07","","3.2","","-8.0","","-2.4","","20.4","","0.0","","","","","","10.6","","","","27","","48",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-08","2026","03","08","","2.3","","-1.9","","0.2","","17.8","","0.0","","","","","","0.5","","","","","","",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-09","2026","03","09","","4.0","","-1.4","","1.3","","16.7","","0.0","","","","","","2.2","","","","26","","51",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-10","2026","03","10","","5.1","","-9.7","","-2.3","","20.3","","0.0","","","","","","0.0","","","","27","","73",""
"-67.38","49.32","POINTE-DES-MONTS","704F0PN","2026-03-11","2026","03","11","","-5.6","","-13.1","","-9.4","","27.4","","0.0","","","","","","8.4","","","","7","","85",""
