"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-01","2026","01","01","","1.3","","-5.3","","-2.0","","20.0","","0.0","","","","","","6.4","","","","10","","62",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-02","2026","01","02","","2.1","","-9.5","","-3.7","","21.7","","0.0","","","","","","0.0","","","","23","","73",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-03","2026","01","03","","-9.0","","-10.6","","-9.8","","27.8","","0.0","","","","","","0.7","","","","21","","54",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-04","2026","01","04","","-8.7","","-10.4","","-9.6","","27.6","","0.0","","","","","","0.2","","","","27","","42",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-05","2026","01","05","","-7.3","","-9.0","","-8.1","","26.1","","0.0","","","","","","1.0","","","","33","","54",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-06","2026","01","06","","-1.1","","-9.1","","-5.1","","23.1","","0.0","","","","","","0.0","","","","24","","44",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-07","2026","01","07","","0.3","","-2.0","","-0.8","","18.8","","0.0","","","","","","3.0","","","","8","","46",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-08","2026","01","08","","0.0","","-0.9","","-0.5","","18.5","","0.0","","","","","","2.4","","","","2","","50",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-09","2026","01","09","","0.2","","-2.7","","-1.3","","19.3","","0.0","","","","","","0.0","","","","16","","54",""
"-61.77","47.43","ILES DE LA MADELEINE","7053KGR","2026-01-10","2026","01","10","","3.3","","-2.1","","0.6","","17.4","","0.0","","","","","","8.2","","","","27","","75",""
