"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-01","2026","01","01","","-5.4","","-12.1","","-8.7","","26.7","","0.0","","","","","","","","","","29","","41",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-02","2026","01","02","","-8.3","","-15.0","","-11.6","","29.6","","0.0","","","","","","","","","","24","","83",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-03","2026","01","03","","-13.2","","-16.8","","-15.0","","33.0","","0.0","","","","","","","","","","26","","71",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-04","2026","01","04","","-11.8","","-16.5","","-14.1","","32.1","","0.0","","","","","","","","","","30","","43",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-05","2026","01","05","","-10.4","","-15.5","","-12.9","","30.9","","0.0","","","","","","","","","","25","","52",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-06","2026","01","06","","-5.4","","-10.8","","-8.1","","26.1","","0.0","","","","","","","","","","22","","35",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-07","2026","01","07","","-1.3","","-6.0","","-3.7","","21.7","","0.0","","","","","","","","","","","","",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-08","2026","01","08","","0.6","","-2.0","","-0.7","","18.7","","0.0","","","","","","","","","","24","","38",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-09","2026","01","09","","3.3","","-1.0","","1.1","","16.9","","0.0","","","","","","","","","","17","","50",""
"-68.89","48.42","ILE BICQUETTE","705LKPQ","2026-01-10","2026","01","10","","2.7","","-4.6","","-1.0","","19.0","","0.0","","","","","","","","","","28","","78",""
