"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-01","2026","01","01","","-14.2","","-23.7","","-19.0","","37.0","","0.0","","","","","","","M","","","","M","","M"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-02","2026","01","02","","-19.4","","-24.9","","-22.2","","40.2","","0.0","","","","","","","M","","","28","","40",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-03","2026","01","03","","-18.0","","-29.4","","-23.7","","41.7","","0.0","","","","","","","M","","","30","","48",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-04","2026","01","04","","-16.8","","-27.7","","-22.3","","40.3","","0.0","","","","","","","M","","","","M","","M"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-05","2026","01","05","","-17.2","","-29.5","","-23.4","","41.4","","0.0","","","","","","","M","","","","M","","M"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-06","2026","01","06","","-8.9","","-17.3","","-13.1","","31.1","","0.0","","","","","","","M","","","","M","","M"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-07","2026","01","07","","-3.2","","-15.1","","-9.2","","27.2","","0.0","","","","","","","M","","","","M","","M"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-08","2026","01","08","","-2.4","","-5.8","","-4.1","","22.1","","0.0","","","","","","","M","","","","M","","M"
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-09","2026","01","09","","3.6","","-7.0","","-1.7","","19.7","","0.0","","","","","","","M","","","13","","56",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-10","2026","01","10","","1.7","","-12.9","","-5.6","","23.6","","0.0","","","","","","","M","","","29","","81",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-11","2026","01","11","","-4.8","","-8.3","","-6.6","","24.6","","0.0","","","","","","","M","","","12","","44",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-12","2026","01","12","","-6.1","","-13.0","","-9.6","","27.6","","0.0","","","","","","","M","","","28","","49",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-13","2026","01","13","","-1.1","","-10.5","","-5.8","","23.8","","0.0","","","","","","","M","","","10","","31",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-14","2026","01","14","","2.3","","-6.0","","-1.9","","19.9","","0.0","","","","","","","M","","","27","","39",""
"-71.05","48.52","CHICOUTIMI ST-HONORE A","706G3J7","2026-01-15","2026","01","15","","-6.0","","-15.2","","-10.6","","28.6","","0.0","","","","","","","M","","","26","","34",""
