"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-01","2026","01","01","","-13.1","","-22.3","","-17.7","","35.7","","0.0","","","","","","0.4","","23","","","M","","M"
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-02","2026","01","02","","-15.4","","-30.2","","-22.8","","40.8","","0.0","","","","","","0.0","","23","","","","",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-03","2026","01","03","","-17.2","","-25.9","","-21.6","","39.6","","0.0","","","","","","0.0","","23","","30","","32",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-04","2026","01","04","","-15.3","","-26.6","","-20.9","","38.9","","0.0","","","","","","0.1","","23","","","","",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-05","2026","01","05","","-15.1","","-29.8","","-22.5","","40.5","","0.0","","","","","","0.0","","23","","","","",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-06","2026","01","06","","-7.1","","-15.7","","-11.4","","29.4","","0.0","","","","","","0.1","","23","","","","",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-07","2026","01","07","","-3.2","","-13.7","","-8.5","","26.5","","0.0","","","","","","0.0","","23","","","","",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-08","2026","01","08","","0.2","","-4.1","","-1.9","","19.9","","0.0","","","","","","0.0","","22","","","","",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-09","2026","01","09","","4.6","","-0.4","","2.1","","15.9","","0.0","","","","","","9.6","","22","","31","","57",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-10","2026","01","10","","1.8","","-8.4","","-3.3","","21.3","","0.0","","","","","","0.0","","18","","33","","55",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-11","2026","01","11","","-1.3","","-9.8","","-5.5","","23.5","","0.0","","","","","","5.8","","23","","32","","43",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-12","2026","01","12","","-7.0","","-13.2","","-10.1","","28.1","","0.0","","","","","","0.3","","24","","31","","31",""
"-72.79","47.41","LA TUQUE","707DBD4","2026-01-13","2026","01","13","","0.1","","-7.0","","-3.4","","21.4","","0.0","","","","","","3.0","","23","","","","",""
