"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-01","2026","01","01","","-16.2","","-21.0","","-18.6","","36.6","","0.0","","","","","","1.0","","18","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-02","2026","01","02","","-15.5","","-26.9","","-21.2","","39.2","","0.0","","","","","","1.0","","16","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-03","2026","01","03","","-14.6","","-21.6","","-18.1","","36.1","","0.0","","","","","","1.1","","17","","10","","34",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-04","2026","01","04","","-12.2","","-15.1","","-13.7","","31.7","","0.0","","","","","","0.2","","16","","11","","39",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-05","2026","01","05","","-11.7","","-15.7","","-13.7","","31.7","","0.0","","","","","","0.2","","16","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-06","2026","01","06","","-8.5","","-22.1","","-15.3","","33.3","","0.0","","","","","","0.2","","16","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-07","2026","01","07","","-3.8","","-11.2","","-7.5","","25.5","","0.0","","","","","","0.0","","16","","22","","36",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-08","2026","01","08","","-5.8","","-20.6","","-13.2","","31.2","","0.0","","","","","","0.0","","16","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-09","2026","01","09","","-11.4","","-21.7","","-16.5","","34.5","","0.0","","","","","","0.0","","15","","27","","31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2026-01-10","2026","01","10","","0.1","","-26.2","","-13.0","","31.0","","0.0","","","","","","0.0","","15","","21","","40",""
