"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-01","2026","01","01","","-9.6","","-15.0","","-12.3","","30.3","","0.0","","","","","","0.0","","18","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-02","2026","01","02","","-13.6","","-14.8","","-14.2","","32.2","","0.0","","","","","","0.0","","18","","7","","31",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-03","2026","01","03","","-11.1","","-15.6","","-13.3","","31.3","","0.0","","","","","","0.0","","18","","9","","38",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-04","2026","01","04","","-11.5","","-16.1","","-13.8","","31.8","","0.0","","","","","","0.2","","18","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-05","2026","01","05","","-13.3","","-23.7","","-18.5","","36.5","","0.0","","","","","","0.0","","18","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-06","2026","01","06","","-5.7","","-24.5","","-15.1","","33.1","","0.0","","","","","","0.2","","18","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-07","2026","01","07","","-5.8","","-16.1","","-10.9","","28.9","","0.0","","","","","","0.0","","17","","21","","37",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-08","2026","01","08","","-7.7","","-19.2","","-13.5","","31.5","","0.0","","","","","","0.0","","17","","33","","40",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-09","2026","01","09","","-7.1","","-15.2","","-11.1","","29.1","","0.0","","","","","","0.0","","19","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2026-01-10","2026","01","10","","1.0","","-7.9","","-3.5","","21.5","","0.0","","","","","","0.0","","18","","24","","35",""
