"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-01","2026","01","01","","-26.3","","-38.7","","-32.5","","50.5","","0.0","","","","","","0.0","","43","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-02","2026","01","02","","-24.2","","-31.8","","-28.0","","46.0","","0.0","","","","","","0.0","","43","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-03","2026","01","03","","-27.4","","-37.8","","-32.6","","50.6","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-04","2026","01","04","","-21.8","","-35.1","","-28.5","","46.5","","0.0","","","","","","0.3","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-05","2026","01","05","","-21.7","","-34.3","","-28.0","","46.0","","0.0","","","","","","2.4","","43","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-06","2026","01","06","","-15.7","","-29.9","","-22.8","","40.8","","0.0","","","","","","0.2","","44","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-07","2026","01","07","","-14.6","","-21.3","","-17.9","","35.9","","0.0","","","","","","0.8","","46","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-08","2026","01","08","","-17.9","","-20.3","","-19.1","","37.1","","0.0","","","","","","0.3","","47","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-09","2026","01","09","","-17.8","","-34.4","","-26.1","","44.1","","0.0","","","","","","0.8","","48","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-10","2026","01","10","","-12.6","","-35.1","","-23.8","","41.8","","0.0","","","","","","2.6","","47","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-11","2026","01","11","","-5.4","","-20.6","","-13.0","","31.0","","0.0","","","","","","0.0","","46","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-12","2026","01","12","","-5.7","","-17.0","","-11.3","","29.3","","0.0","","","","","","3.2","","46","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-13","2026","01","13","","-13.3","","-24.0","","-18.7","","36.7","","0.0","","","","","","0.1","","48","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-14","2026","01","14","","0.7","","-14.7","","-7.0","","25.0","","0.0","","","","","","2.3","","47","","28","","39",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-15","2026","01","15","","0.5","","-22.2","","-10.8","","28.8","","0.0","","","","","","0.0","","46","","29","","63",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-16","2026","01","16","","-22.1","","-34.0","","-28.1","","46.1","","0.0","","","","","","0.0","","49","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-17","2026","01","17","","-17.9","","-26.6","","-22.2","","40.2","","0.0","","","","","","5.7","","50","","36","","35",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-18","2026","01","18","","-24.7","","-31.8","","-28.3","","46.3","","0.0","","","","","","0.0","","54","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-19","2026","01","19","","-22.5","","-34.7","","-28.6","","46.6","","0.0","","","","","","0.1","","53","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-20","2026","01","20","","-13.5","","-27.1","","-20.3","","38.3","","0.0","","","","","","1.3","","53","","33","","42",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-21","2026","01","21","","-20.5","","-34.2","","-27.3","","45.3","","0.0","","","","","","0.0","","57","","34","","49",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-22","2026","01","22","","-29.9","","-43.3","","-36.6","","54.6","","0.0","","","","","","0.0","","55","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-23","2026","01","23","","-29.6","","-43.8","","-36.7","","54.7","","0.0","","","","","","0.0","","55","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-24","2026","01","24","","-27.3","","-40.5","","-33.9","","51.9","","0.0","","","","","","0.0","","55","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-25","2026","01","25","","-18.0","","-38.0","","-28.0","","46.0","","0.0","","","","","","2.8","","55","","35","","31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-26","2026","01","26","","-18.2","","-34.0","","-26.1","","44.1","","0.0","","","","","","0.0","","59","","36","","33",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-27","2026","01","27","","-22.9","","-33.6","","-28.3","","46.3","","0.0","","","","","","0.0","","58","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-28","2026","01","28","","-18.7","","-33.3","","-26.0","","44.0","","0.0","","","","","","0.0","","58","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-29","2026","01","29","","-11.8","","-20.0","","-15.9","","33.9","","0.0","","","","","","9.3","","58","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-30","2026","01","30","","-6.8","","-12.0","","-9.4","","27.4","","0.0","","","","","","0.0","","64","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-01-31","2026","01","31","","-7.5","","-28.0","","-17.7","","35.7","","0.0","","","","","","0.1","","63","","2","","37",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-01","2026","02","01","","-18.4","","-27.5","","-23.0","","41.0","","0.0","","","","","","0.0","","62","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-02","2026","02","02","","-12.6","","-23.8","","-18.2","","36.2","","0.0","","","","","","0.0","","61","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-03","2026","02","03","","-11.6","","-16.1","","-13.9","","31.9","","0.0","","","","","","0.7","","61","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-04","2026","02","04","","-4.5","","-17.7","","-11.1","","29.1","","0.0","","","","","","11.2","","67","","30","","46",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-05","2026","02","05","","-17.6","","-26.9","","-22.2","","40.2","","0.0","","","","","","0.0","","69","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-06","2026","02","06","","-15.7","","-26.9","","-21.3","","39.3","","0.0","","","","","","0.0","","68","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-07","2026","02","07","","-14.3","","-18.0","","-16.1","","34.1","","0.0","","","","","","0.4","","67","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-08","2026","02","08","","-13.7","","-18.2","","-15.9","","33.9","","0.0","","","","","","4.2","","67","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-09","2026","02","09","","-15.8","","-20.2","","-18.0","","36.0","","0.0","","","","","","0.0","","70","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-10","2026","02","10","","-9.8","","-24.5","","-17.2","","35.2","","0.0","","","","","","0.0","","69","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-11","2026","02","11","","-8.6","","-12.3","","-10.5","","28.5","","0.0","","","","","","0.4","","68","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-12","2026","02","12","","-5.1","","-11.9","","-8.5","","26.5","","0.0","","","","","","1.0","","68","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-13","2026","02","13","","-5.4","","-10.6","","-8.0","","26.0","","0.0","","","","","","5.1","","72","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-14","2026","02","14","","-9.5","","-13.9","","-11.7","","29.7","","0.0","","","","","","0.4","","72","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-15","2026","02","15","","-13.9","","-31.8","","-22.9","","40.9","","0.0","","","","","","1.2","","76","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-16","2026","02","16","","-25.2","","-35.1","","-30.1","","48.1","","0.0","","","","","","0.0","","75","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-17","2026","02","17","","-25.5","","-35.7","","-30.6","","48.6","","0.0","","","","","","0.0","","74","","2","","31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-18","2026","02","18","","-25.1","","-31.8","","-28.5","","46.5","","0.0","","","","","","1.5","","73","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-19","2026","02","19","","-24.4","","-34.9","","-29.7","","47.7","","0.0","","","","","","0.1","","72","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-20","2026","02","20","","-18.4","","-35.2","","-26.8","","44.8","","0.0","","","","","","0.0","","72","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-21","2026","02","21","","-18.2","","-34.8","","-26.5","","44.5","","0.0","","","","","","0.0","","71","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-22","2026","02","22","","-23.4","","-39.6","","-31.5","","49.5","","0.0","","","","","","0.0","","71","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-23","2026","02","23","","-19.5","","-33.8","","-26.7","","44.7","","0.0","","","","","","0.2","","72","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-24","2026","02","24","","-18.5","","-34.3","","-26.4","","44.4","","0.0","","","","","","0.0","","71","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2026-02-25","2026","02","25","","-12.8","","-30.8","","-21.8","","39.8","","0.0","","","","","","0.0","","71","","","","",""
