"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.00","53.33","NIPAWIN","407N51G","2026-01-01","2026","01","01","","","M","","M","","M","","M","","M","","","","","","M","21","","","M","","M"
"-104.00","53.33","NIPAWIN","407N51G","2026-01-02","2026","01","02","","-15.8","","-25.2","","-20.5","","38.5","","0.0","","","","","","1.1","","20","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-03","2026","01","03","","","M","","M","","M","","M","","M","","","","","","M","22","","","M","","M"
"-104.00","53.33","NIPAWIN","407N51G","2026-01-04","2026","01","04","","-17.1","","-18.2","","-17.7","","35.7","","0.0","","","","","","2.1","","27","","6","","36",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-05","2026","01","05","","-15.9","","-21.0","","-18.5","","36.5","","0.0","","","","","","0.2","","23","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-06","2026","01","06","","-14.2","","-30.2","","-22.2","","40.2","","0.0","","","","","","0.2","","22","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-07","2026","01","07","","-10.3","","-22.0","","-16.2","","34.2","","0.0","","","","","","0.0","","21","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-08","2026","01","08","","-7.5","","-18.5","","-13.0","","31.0","","0.0","","","","","","0.0","","21","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-09","2026","01","09","","-10.7","","-23.6","","-17.2","","35.2","","0.0","","","","","","0.2","","21","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-10","2026","01","10","","-5.3","","-32.0","","-18.6","","36.6","","0.0","","","","","","0.4","","23","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-11","2026","01","11","","5.0","","-5.6","","-0.3","","18.3","","0.0","","","","","","0.4","","23","","25","","39",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-12","2026","01","12","","5.8","","-7.2","","-0.7","","18.7","","0.0","","","","","","0.0","","23","","29","","53",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-13","2026","01","13","","4.4","","-11.5","","-3.5","","21.5","","0.0","","","","","","0.0","","20","","5","","33",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-14","2026","01","14","","4.0","","-11.4","","-3.7","","21.7","","0.0","","","","","","0.0","","19","","26","","37",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-15","2026","01","15","","3.8","","-15.8","","-6.0","","24.0","","0.0","","","","","","0.0","","19","","31","","77",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-16","2026","01","16","","-15.6","","-26.8","","-21.2","","39.2","","0.0","","","","","","0.0","","17","","34","","61",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-17","2026","01","17","","-8.9","","-28.9","","-18.9","","36.9","","0.0","","","","","","0.2","","17","","34","","47",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-18","2026","01","18","","-10.1","","-22.8","","-16.5","","34.5","","0.0","","","","","","0.2","","17","","35","","58",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-19","2026","01","19","","-16.9","","-24.9","","-20.9","","38.9","","0.0","","","","","","0.0","","17","","30","","34",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-20","2026","01","20","","-10.1","","-21.4","","-15.7","","33.7","","0.0","","","","","","0.2","","17","","30","","37",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-21","2026","01","21","","-10.2","","-28.3","","-19.3","","37.3","","0.0","","","","","","0.2","","17","","35","","67",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-22","2026","01","22","","-27.7","","-33.5","","-30.6","","48.6","","0.0","","","","","","0.2","","17","","34","","38",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-23","2026","01","23","","-27.4","","-37.7","","-32.6","","50.6","","0.0","","","","","","0.0","","17","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-24","2026","01","24","","-29.9","","-41.8","","-35.9","","53.9","","0.0","","","","","","0.0","","17","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2026-01-25","2026","01","25","","-19.8","","-37.0","","-28.4","","46.4","","0.0","","","","","","0.0","","17","","22","","38",""
