"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-133.38","62.21","FARO (AUT)","2100518","2026-01-01","2026","01","01","","-21.9","","-23.9","","-22.9","","40.9","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-02","2026","01","02","","-23.9","","-42.1","","-33.0","","51.0","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-03","2026","01","03","","-38.3","","-45.3","","-41.8","","59.8","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-04","2026","01","04","","-35.0","","-41.1","","-38.0","","56.0","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-05","2026","01","05","","-25.6","","-43.9","","-34.8","","52.8","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-06","2026","01","06","","-20.6","","-26.0","","-23.3","","41.3","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-07","2026","01","07","","-17.2","","-22.3","","-19.8","","37.8","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-08","2026","01","08","","-20.4","","-33.7","","-27.0","","45.0","","0.0","","","","","","","","","","28","","33",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-09","2026","01","09","","-11.5","","-30.9","","-21.2","","39.2","","0.0","","","","","","","","","","13","","42",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-10","2026","01","10","","-1.9","","-11.6","","-6.7","","24.7","","0.0","","","","","","","","","","14","","51",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-11","2026","01","11","","-1.3","","-8.1","","-4.7","","22.7","","0.0","","","","","","","","","","13","","40",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-12","2026","01","12","","-3.5","","-12.4","","-7.9","","25.9","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-13","2026","01","13","","0.9","","-11.8","","-5.4","","23.4","","0.0","","","","","","","M","","","11","","35",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-14","2026","01","14","","2.7","","-2.9","","-0.1","","18.1","","0.0","","","","","","","M","","","25","","49",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-15","2026","01","15","","-1.4","","-16.5","","-9.0","","27.0","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-16","2026","01","16","","7.0","","-14.6","","-3.8","","21.8","","0.0","","","","","","","M","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-17","2026","01","17","","6.8","","-8.1","","-0.6","","18.6","","0.0","","","","","","","M","","","25","","40",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-18","2026","01","18","","-6.1","","-16.3","","-11.2","","29.2","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-19","2026","01","19","","-9.9","","-19.8","","-14.9","","32.9","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-20","2026","01","20","","-17.6","","-23.1","","-20.3","","38.3","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-21","2026","01","21","","-17.9","","-22.0","","-20.0","","38.0","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-22","2026","01","22","","-14.9","","-19.2","","-17.1","","35.1","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-23","2026","01","23","","-16.1","","-25.5","","-20.8","","38.8","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-24","2026","01","24","","-24.5","","-31.7","","-28.1","","46.1","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-25","2026","01","25","","-18.6","","-24.6","","-21.6","","39.6","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-26","2026","01","26","","-13.6","","-19.0","","-16.3","","34.3","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-27","2026","01","27","","-2.4","","-13.9","","-8.1","","26.1","","0.0","","","","","","","","","","13","","45",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-28","2026","01","28","","-1.1","","-4.7","","-2.9","","20.9","","0.0","","","","","","","","","","12","","37",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-29","2026","01","29","","-2.6","","-10.4","","-6.5","","24.5","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-30","2026","01","30","","-7.6","","-18.0","","-12.8","","30.8","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-01-31","2026","01","31","","-8.7","","-13.5","","-11.1","","29.1","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-02-01","2026","02","01","","-8.8","","-15.1","","-11.9","","29.9","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-02-02","2026","02","02","","-5.0","","-9.7","","-7.3","","25.3","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-02-03","2026","02","03","","-0.7","","-12.2","","-6.5","","24.5","","0.0","","","","","","","","","","13","","39",""
"-133.38","62.21","FARO (AUT)","2100518","2026-02-04","2026","02","04","","-0.1","","-9.1","","-4.6","","22.6","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-02-05","2026","02","05","","-1.2","","-10.7","","-5.9","","23.9","","0.0","","","","","","","","","","","","",""
"-133.38","62.21","FARO (AUT)","2100518","2026-02-06","2026","02","06","","-3.0","","-9.9","","-6.4","","24.4","","0.0","","","","","","","","","","","","",""
