"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.13","64.06","DAWSON","2100LRP","2026-01-01","2026","01","01","","-24.5","","-33.3","","-28.9","","46.9","","0.0","","","","","","0.2","","28","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-02","2026","01","02","","-33.0","","-44.1","","-38.6","","56.6","","0.0","","","","","","0.4","","29","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-03","2026","01","03","","-43.7","","-47.9","","-45.8","","63.8","","0.0","","","","","","0.2","","29","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-04","2026","01","04","","-47.3","","-49.1","","-48.2","","66.2","","0.0","","","","","","0.0","","28","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-05","2026","01","05","","-35.6","","-48.6","","-42.1","","60.1","","0.0","","","","","","0.0","","28","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-06","2026","01","06","","-25.9","","-35.6","","-30.8","","48.8","","0.0","","","","","","0.7","","28","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-07","2026","01","07","","-22.7","","-26.7","","-24.7","","42.7","","0.0","","","","","","1.6","","28","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-08","2026","01","08","","-26.4","","-40.3","","-33.4","","51.4","","0.0","","","","","","0.4","","31","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-09","2026","01","09","","-28.9","","-41.2","","-35.1","","53.1","","0.0","","","","","","1.7","","31","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-10","2026","01","10","","-21.3","","-29.9","","-25.6","","43.6","","0.0","","","","","","19.3","","43","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-11","2026","01","11","","-24.3","","-30.1","","-27.2","","45.2","","0.0","","","","","","0.0","","45","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-12","2026","01","12","","-18.6","","-24.4","","-21.5","","39.5","","0.0","","","","","","0.2","","43","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-13","2026","01","13","","-20.1","","-25.0","","-22.5","","40.5","","0.0","","","","","","0.4","","42","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-14","2026","01","14","","-18.8","","-25.6","","-22.2","","40.2","","0.0","","","","","","7.8","","42","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-15","2026","01","15","","-18.6","","-29.3","","-24.0","","42.0","","0.0","","","","","","0.0","","43","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-16","2026","01","16","","-6.7","","-18.8","","-12.8","","30.8","","0.0","","","","","","11.4","","46","","22","","31",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-17","2026","01","17","","-6.6","","-21.7","","-14.2","","32.2","","0.0","","","","","","0.0","","43","","22","","32",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-18","2026","01","18","","-12.1","","-19.3","","-15.7","","33.7","","0.0","","","","","","0.0","","43","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-19","2026","01","19","","-15.3","","-23.6","","-19.5","","37.5","","0.0","","","","","","0.0","","41","","","","",""
"-139.13","64.06","DAWSON","2100LRP","2026-01-20","2026","01","20","","-12.7","","-15.6","","-14.1","","32.1","","0.0","","","","","","0.0","","41","","","","",""
